Algorithm,n_bits_max,n_bits,Index,Random_Number
LCG,40,39,0,459978934237
LCG,40,38,1,236237580257
LCG,40,40,2,597609916157
LCG,40,40,3,653632174529
LCG,40,40,4,955128917021
LCG,40,40,5,697933256097
LCG,40,40,6,824864978749
LCG,40,40,7,838502505345
LCG,40,40,8,754145159261
LCG,40,40,9,559752801121
LCG,56,55,0,26752592495271805
LCG,56,55,1,33313300065445185
LCG,56,53,2,6454937549028509
LCG,56,54,3,18008727077726497
LCG,56,56,4,68352222221803453
LCG,56,56,5,38060321382536961
LCG,56,56,6,36600471766870237
LCG,56,56,7,63085597629026017
LCG,56,51,8,1396144311334909
LCG,56,56,9,64239795121811649
LCG,80,72,0,4467712581718165826845
LCG,80,78,1,208809226662723743423649
LCG,80,80,2,847554135706486338283581
LCG,80,80,3,629616472357243610329729
LCG,80,80,4,1049414919518494062266717
LCG,80,80,5,703171585327396998795873
LCG,80,80,6,1162911198157533447254141
LCG,80,79,7,425437101763472418282561
LCG,80,80,8,761564936857263705193885
LCG,80,80,9,925345386413658761900065
LCG,128,127,0,118609120702801707716745140135488164029
LCG,128,128,1,300392090178991471964060670054965538305
LCG,128,126,2,55586219789696891061435715752742963677
LCG,128,128,3,215606928708896782267625460537289946593
LCG,128,128,4,201699644435018700132305403798882142461
LCG,128,128,5,307704613697643678028639740249152088001
LCG,128,125,6,30172235002115527414373081492654337565
LCG,128,126,7,82091837047513600870646981689033319329
LCG,128,127,8,151129666522892386619107232368140917053
LCG,128,128,9,182069742905328430672985123922721737089
LCG,168,167,0,102363634821397231430425027106183022524240616958557
LCG,168,167,1,144750382641917569177799531285306299355884673448289
LCG,168,168,2,233122377654094685206344126541604938107601852498301
LCG,168,168,3,366931374566134120691946143786360770976344518185793
LCG,168,168,4,371598056161879124646237289711873248493195176853149
LCG,168,168,5,315197341688523869725147800709339841980050471171873
LCG,168,167,6,125568403610039105427818674266928437376586603758013
LCG,168,165,7,31654633618802140225578037710794418690362996049153
LCG,168,168,8,192318460646740165828980834445141016096904606739165
LCG,168,167,9,94387404250506798358872569785472666468690848767201
LCG,224,224,0,19975642010330183163895237933630849941926274262917395512469484968445
LCG,224,224,1,21768451246113887564683371605364204849323008064466360277746153316033
LCG,224,219,2,788461028276609751206373153821455526520332747611436041076629942045
LCG,224,224,3,23850567787468305117597490488617309446278278712612269685004049623713
LCG,224,224,4,23486934725073282286081333621669875637385636113624081719950105758269
LCG,224,222,5,4927141309405548252748789536816935472111407687759955008582012608641
LCG,224,223,6,8431835328248153036690460874018389389579935695004362915541566098269
LCG,224,224,7,22045220234211029105506577996935148840292896963989954136655206555745
LCG,224,224,8,19538773285585516488365706393233043887046761512182148990020751626877
LCG,224,224,9,22776655851050199202804653130568002076591444507173632181986144356929
LCG,256,256,0,98876702176623314929561477452158375065701086259252400760049653830892032982941
