Algorithm,n_bits_max,n_bits,Index,Random_Number
XORSHIFT,40,21,0,1351845
XORSHIFT,40,39,1,343935557125
XORSHIFT,40,39,2,514989525969
XORSHIFT,40,39,3,419461529934
XORSHIFT,40,34,4,16947811159
XORSHIFT,40,40,5,638275933591
XORSHIFT,40,39,6,373516074068
XORSHIFT,40,39,7,320971910836
XORSHIFT,40,40,8,937298289834
XORSHIFT,40,40,9,705794874890
XORSHIFT,40,38,10,164697649817
XORSHIFT,40,31,11,1348462607
XORSHIFT,40,39,12,541268642464
XORSHIFT,40,40,13,1077534009946
XORSHIFT,40,40,14,854779078299
XORSHIFT,40,40,15,587169156116
XORSHIFT,40,39,16,373850032468
XORSHIFT,40,37,17,116268002136
XORSHIFT,40,39,18,315213361283
XORSHIFT,40,39,19,381871993372
XORSHIFT,40,36,20,60321101745
XORSHIFT,40,36,21,42412987039
XORSHIFT,40,38,22,270329715031
XORSHIFT,40,39,23,401742173814
XORSHIFT,40,37,24,96675322568
XORSHIFT,40,40,25,816821900802
XORSHIFT,40,38,26,221720500754
XORSHIFT,40,40,27,1079155556154
XORSHIFT,40,39,28,537923732062
XORSHIFT,40,33,29,8555049595
XORSHIFT,40,38,30,197378204297
XORSHIFT,40,40,31,721219149909
XORSHIFT,40,40,32,900658139761
XORSHIFT,40,38,33,174187658914
XORSHIFT,40,39,34,442945551674
XORSHIFT,40,40,35,835172262599
XORSHIFT,40,40,36,677858456025
XORSHIFT,40,39,37,391044901797
XORSHIFT,40,40,38,991482156436
XORSHIFT,40,40,39,995321118229
XORSHIFT,40,40,40,702895771061
XORSHIFT,40,39,41,296995769059
XORSHIFT,40,39,42,432554944996
XORSHIFT,40,37,43,110721102750
XORSHIFT,40,38,44,246286707769
XORSHIFT,40,40,45,801220528912
XORSHIFT,40,40,46,798006742746
XORSHIFT,40,40,47,822370215971
XORSHIFT,40,38,48,155822254923
XORSHIFT,40,40,49,757222523490
XORSHIFT,40,40,50,1020651380633
XORSHIFT,40,39,51,462341348008
XORSHIFT,40,39,52,469624808090
XORSHIFT,40,39,53,524303465531
XORSHIFT,40,40,54,870848297773
XORSHIFT,40,40,55,722558035858
XORSHIFT,40,40,56,651865485411
XORSHIFT,40,39,57,543216149407
XORSHIFT,40,38,58,159538586428
XORSHIFT,40,40,59,896347281841
XORSHIFT,40,39,60,344955233073
XORSHIFT,40,40,61,1078596007893
XORSHIFT,40,40,62,989035202626
XORSHIFT,40,40,63,629039692525
XORSHIFT,40,40,64,922727116052
XORSHIFT,40,40,65,687020881196
XORSHIFT,40,39,66,411265036623
XORSHIFT,40,40,67,789817739644
XORSHIFT,40,40,68,1011786526220
XORSHIFT,40,39,69,313060563514
XORSHIFT,40,39,70,392200762519
XORSHIFT,40,40,71,945157751712
XORSHIFT,40,40,72,616900421535
XORSHIFT,40,40,73,800346562102
XORSHIFT,40,40,74,583241676986
XORSHIFT,40,40,75,710497492581
XORSHIFT,40,39,76,394657645242
XORSHIFT,40,40,77,1087685020615
XORSHIFT,40,40,78,1002775080657
XORSHIFT,40,40,79,765173662330
XORSHIFT,40,40,80,636300729454
XORSHIFT,40,38,81,231098168373
XORSHIFT,40,39,82,292161590933
XORSHIFT,40,40,83,835653544036
XORSHIFT,40,40,84,955680809864
XORSHIFT,40,39,85,417058396689
XORSHIFT,40,39,86,454753749279
XORSHIFT,40,40,87,850900698649
XORSHIFT,40,38,88,244784945545
XORSHIFT,40,40,89,731858533401
XORSHIFT,40,40,90,584288983405
XORSHIFT,40,40,91,665221440464
XORSHIFT,40,40,92,726337278441
XORSHIFT,40,39,93,436246578622
XORSHIFT,40,40,94,926046109004
XORSHIFT,40,38,95,172854348203
XORSHIFT,40,39,96,284740124327
XORSHIFT,40,38,97,156357392455
XORSHIFT,40,40,98,951080791667
XORSHIFT,40,38,99,264046918462
XORSHIFT,56,56,0,68188509202232027
XORSHIFT,56,56,1,54415027594374519
XORSHIFT,56,53,2,7102336582378490
XORSHIFT,56,55,3,29585012861227245
XORSHIFT,56,56,4,36342982629600993
XORSHIFT,56,53,5,7460899897958996
XORSHIFT,56,56,6,65007453513157566
XORSHIFT,56,56,7,70256211289975542
XORSHIFT,56,55,8,28685977580044963
XORSHIFT,56,53,9,6041094487220081
XORSHIFT,56,54,10,13202658050098269
XORSHIFT,56,56,11,69958517624182317
XORSHIFT,56,54,12,13451584612241071
XORSHIFT,56,51,13,1762105297675384
XORSHIFT,56,53,14,7425450064878294
XORSHIFT,56,56,15,61362139068639758
XORSHIFT,56,56,16,45599814979226114
XORSHIFT,56,56,17,59193835637044918
XORSHIFT,56,56,18,72046291950657529
XORSHIFT,56,55,19,23725848022198507
XORSHIFT,56,56,20,48915441298337992
XORSHIFT,56,55,21,20485473965986283
XORSHIFT,56,51,22,1611088864284147
XORSHIFT,56,56,23,36351949019628118
XORSHIFT,56,56,24,38188245379367753
XORSHIFT,56,56,25,68985513758688778
XORSHIFT,56,54,26,17826862615863796
XORSHIFT,56,56,27,56184991209434781
XORSHIFT,56,56,28,37209602712636491
XORSHIFT,56,56,29,36327363819791418
XORSHIFT,56,55,30,35898696157660404
XORSHIFT,56,52,31,2542307130169835
XORSHIFT,56,56,32,68376016064500742
XORSHIFT,56,56,33,45942098072500529
XORSHIFT,56,56,34,46784614313860750
XORSHIFT,56,56,35,55438339586299702
XORSHIFT,56,55,36,20059077208477112
XORSHIFT,56,56,37,46063379820182599
XORSHIFT,56,56,38,36832340663003401
XORSHIFT,56,56,39,55708357325343074
XORSHIFT,56,56,40,64457406655243654
XORSHIFT,56,54,41,10009816246209588
XORSHIFT,56,56,42,60324725613102392
XORSHIFT,56,54,43,12998363894193600
XORSHIFT,56,56,44,40546736106238453
XORSHIFT,56,53,45,7410400054730782
XORSHIFT,56,56,46,56294026468321516
XORSHIFT,56,56,47,45732719326647949
XORSHIFT,56,55,48,32056059333487468
XORSHIFT,56,55,49,23663873717451686
XORSHIFT,56,54,50,15978060636401124
XORSHIFT,56,56,51,37977435485336749
XORSHIFT,56,56,52,56662037199149453
XORSHIFT,56,53,53,4781214889500021
XORSHIFT,56,55,54,33087443048883752
XORSHIFT,56,54,55,15175366610381552
XORSHIFT,56,53,56,7908492901617133
XORSHIFT,56,55,57,28597016592881053
XORSHIFT,56,56,58,43667971973926391
XORSHIFT,56,56,59,48979028310542304
XORSHIFT,56,56,60,36490385786687980
XORSHIFT,56,56,61,40493260768011126
XORSHIFT,56,55,62,29116368290575214
XORSHIFT,56,53,63,6645659162457205
XORSHIFT,56,56,64,46820230723843940
XORSHIFT,56,56,65,51041415067422110
XORSHIFT,56,54,66,15004790381735313
XORSHIFT,56,55,67,24904044219740184
XORSHIFT,56,55,68,33417257621148065
XORSHIFT,56,56,69,71477743697899819
XORSHIFT,56,56,70,59534100390175587
XORSHIFT,56,55,71,24289455553525622
XORSHIFT,56,55,72,35279292515188166
XORSHIFT,56,55,73,21553292636740831
XORSHIFT,56,56,74,64847770369241439
XORSHIFT,56,56,75,48635374923258080
XORSHIFT,56,55,76,31754364558517062
XORSHIFT,56,56,77,59655114211010488
XORSHIFT,56,56,78,47049354503955753
XORSHIFT,56,54,79,11910875643502324
XORSHIFT,56,56,80,71788990639976611
XORSHIFT,56,56,81,52775239684659833
XORSHIFT,56,54,82,16071457467717205
XORSHIFT,56,56,83,43306417422749601
XORSHIFT,56,54,84,11262255286094566
XORSHIFT,56,56,85,48986652919489201
XORSHIFT,56,54,86,12287525614567642
XORSHIFT,56,55,87,31726516804460353
XORSHIFT,56,56,88,63093951647609726
XORSHIFT,56,55,89,27588205688030270
XORSHIFT,56,51,90,1934848930773950
XORSHIFT,56,56,91,61599510605242462
XORSHIFT,56,54,92,16502994391443360
XORSHIFT,56,56,93,56836130072983373
XORSHIFT,56,56,94,59540316654599725
XORSHIFT,56,54,95,16113091536250894
XORSHIFT,56,56,96,59569522068510702
XORSHIFT,56,55,97,20831714788122874
XORSHIFT,56,53,98,6397938083746932
XORSHIFT,56,52,99,3739028865267280
XORSHIFT,80,70,0,969187001738243916093
XORSHIFT,80,80,1,903268025205503701745880
XORSHIFT,80,80,2,719086354561042826094558
XORSHIFT,80,80,3,1022022528241302329081540
XORSHIFT,80,79,4,473532301632855010430117
XORSHIFT,80,80,5,1020752272961414648409946
XORSHIFT,80,79,6,471707937073083392426031
XORSHIFT,80,78,7,226633998441288184414960
XORSHIFT,80,73,8,5748357932948425450261
XORSHIFT,80,80,9,821467227853152420040331
XORSHIFT,80,78,10,181752044759665077763932
XORSHIFT,80,79,11,308601491403035725467397
XORSHIFT,80,76,12,38864303458347627140328
XORSHIFT,80,76,13,73470872087800569823166
XORSHIFT,80,79,14,383928751085613852262228
XORSHIFT,80,80,15,774969331643227231011129
XORSHIFT,80,80,16,1122903959582972965036206
XORSHIFT,80,80,17,871430723835492519228654
XORSHIFT,80,80,18,946524867689264859707906
XORSHIFT,80,80,19,1201560256300857784503626
XORSHIFT,80,80,20,1207626889059391908173345
XORSHIFT,80,79,21,514442355750240260710603
XORSHIFT,80,80,22,1101678234333647501469172
XORSHIFT,80,80,23,1057965482846734820110384
XORSHIFT,80,79,24,441217301597349912903853
XORSHIFT,80,80,25,1203927782441206931953204
XORSHIFT,80,78,26,265173909496248202975730
XORSHIFT,80,80,27,846784566503826173519871
XORSHIFT,80,80,28,1144620809939830560313084
XORSHIFT,80,80,29,1116193508098365850442533
XORSHIFT,80,77,30,124853234615185377456153
XORSHIFT,80,79,31,488307445246876454774300
XORSHIFT,80,80,32,763146945762839804408627
XORSHIFT,80,80,33,943089344270191978678907
XORSHIFT,80,79,34,345345176849638576144312
XORSHIFT,80,80,35,638514021956745922989715
XORSHIFT,80,79,36,550889786621781414301538
XORSHIFT,80,78,37,261610090603140869663794
XORSHIFT,80,80,38,924252912536911414243148
XORSHIFT,80,78,39,194852925970852345289027
XORSHIFT,80,80,40,759535293519811859286923
XORSHIFT,80,80,41,619221823844012476330609
XORSHIFT,80,80,42,839543007490154250683745
XORSHIFT,80,80,43,760768949505598018415651
XORSHIFT,80,80,44,990786124331872446483537
XORSHIFT,80,79,45,328442843661321560851695
XORSHIFT,80,80,46,1028367569153778727650274
XORSHIFT,80,78,47,261178596299567187326083
XORSHIFT,80,77,48,126228915798753357660354
XORSHIFT,80,80,49,726337211853999650182070
XORSHIFT,80,78,50,287647025524564185196873
XORSHIFT,80,76,51,57864030017437167516392
XORSHIFT,80,80,52,1042004074103781243639841
XORSHIFT,80,78,53,231691333585783266550094
XORSHIFT,80,77,54,150496661521763651486680
XORSHIFT,80,80,55,1100211189109580699777524
XORSHIFT,80,80,56,1058890869147739737175928
XORSHIFT,80,80,57,1126707183224719413474860
XORSHIFT,80,79,58,368223670940391819891038
XORSHIFT,80,77,59,127729774135854158160948
XORSHIFT,80,75,60,35918097802646848854663
XORSHIFT,80,80,61,1104973073003305087606513
XORSHIFT,80,80,62,715651288890955893239550
