Algorithm,n_bits_max,n_bits,Index,Random_Number
XORSHIFT,40,40,0,1096451671942
XORSHIFT,40,39,1,373398407472
XORSHIFT,40,40,2,679286389120
XORSHIFT,40,38,3,232511478967
XORSHIFT,40,40,4,706474465213
XORSHIFT,40,38,5,195893349906
XORSHIFT,40,40,6,583100999904
XORSHIFT,40,37,7,85814922765
XORSHIFT,40,40,8,1019535498582
XORSHIFT,40,39,9,363377081509
XORSHIFT,40,39,10,283225747604
XORSHIFT,40,36,11,43904433653
XORSHIFT,40,40,12,1038794198430
XORSHIFT,40,40,13,561622457501
XORSHIFT,40,40,14,588506868371
XORSHIFT,40,40,15,991576880709
XORSHIFT,40,40,16,782101320490
XORSHIFT,40,37,17,80119160983
XORSHIFT,40,39,18,330339049826
XORSHIFT,40,37,19,76775522026
XORSHIFT,40,40,20,677274794834
XORSHIFT,40,40,21,929412687835
XORSHIFT,40,38,22,267694937806
XORSHIFT,40,40,23,1090482438092
XORSHIFT,40,40,24,818382651864
XORSHIFT,40,40,25,703911857745
XORSHIFT,40,40,26,1065207030945
XORSHIFT,40,40,27,776805005999
XORSHIFT,40,38,28,225018854866
XORSHIFT,40,40,29,624833232730
XORSHIFT,40,38,30,245251858260
XORSHIFT,40,40,31,858720092658
XORSHIFT,40,37,32,135389347031
XORSHIFT,40,31,33,1773942768
XORSHIFT,40,40,34,867656911473
XORSHIFT,40,40,35,556677621798
XORSHIFT,40,39,36,454771039565
XORSHIFT,40,40,37,851215273442
XORSHIFT,40,40,38,572553760941
XORSHIFT,40,40,39,564521803753
XORSHIFT,40,40,40,630956274968
XORSHIFT,40,40,41,555635817055
XORSHIFT,40,40,42,563911112198
XORSHIFT,40,39,43,549710286842
XORSHIFT,40,36,44,52872466817
XORSHIFT,40,40,45,742277099265
XORSHIFT,40,40,46,1053122818245
XORSHIFT,40,38,47,243861827400
XORSHIFT,40,40,48,1069907987802
XORSHIFT,40,39,49,295297139217
XORSHIFT,40,40,50,745006701050
XORSHIFT,40,40,51,859730375659
XORSHIFT,40,33,52,4776518979
XORSHIFT,40,39,53,530065038478
XORSHIFT,40,35,54,27953958349
XORSHIFT,40,38,55,193361941702
XORSHIFT,40,38,56,211871064616
XORSHIFT,40,39,57,462326821013
XORSHIFT,40,40,58,861637938005
XORSHIFT,40,37,59,98614065359
XORSHIFT,40,37,60,136366662766
XORSHIFT,40,40,61,814269178435
XORSHIFT,40,38,62,201525754907
XORSHIFT,40,40,63,1046807560341
XORSHIFT,40,40,64,588820380471
XORSHIFT,40,37,65,70034415346
XORSHIFT,40,39,66,365069580685
XORSHIFT,40,39,67,477254296126
XORSHIFT,40,37,68,86368267732
XORSHIFT,40,38,69,161899007216
XORSHIFT,40,37,70,91937300936
XORSHIFT,40,40,71,869435435141
XORSHIFT,40,40,72,843918632636
XORSHIFT,40,35,73,22595867403
XORSHIFT,40,40,74,761877897523
XORSHIFT,40,38,75,185770820091
XORSHIFT,40,39,76,472002883010
XORSHIFT,40,38,77,149799363350
XORSHIFT,40,40,78,665255883353
XORSHIFT,40,37,79,69803080119
XORSHIFT,40,39,80,358555980423
XORSHIFT,40,38,81,167546135074
XORSHIFT,40,40,82,597972138275
XORSHIFT,40,39,83,531437725380
XORSHIFT,40,38,84,178936393020
XORSHIFT,40,40,85,1031434574263
XORSHIFT,40,37,86,102432809513
XORSHIFT,40,38,87,143497458263
XORSHIFT,40,39,88,387310997116
XORSHIFT,40,40,89,608583573439
XORSHIFT,40,40,90,925666348400
XORSHIFT,40,40,91,1000784568934
XORSHIFT,40,35,92,29992114036
XORSHIFT,40,33,93,7499408662
XORSHIFT,40,37,94,94563894072
XORSHIFT,40,40,95,630813658994
XORSHIFT,40,40,96,646813085267
XORSHIFT,40,38,97,163284829182
XORSHIFT,40,39,98,363079744805
XORSHIFT,40,37,99,98694154057
XORSHIFT,40,37,100,105751561165
XORSHIFT,40,40,101,830782417653
XORSHIFT,40,40,102,918043528164
XORSHIFT,40,38,103,229618208078
XORSHIFT,40,39,104,470241320221
XORSHIFT,40,37,105,88968479236
XORSHIFT,40,40,106,972938463027
XORSHIFT,40,40,107,952245066483
XORSHIFT,40,39,108,301861470305
XORSHIFT,40,40,109,989288695083
XORSHIFT,40,38,110,158751799904
XORSHIFT,40,37,111,76724019114
XORSHIFT,40,40,112,994155336573
XORSHIFT,40,37,113,115452554057
XORSHIFT,40,39,114,542159240892
XORSHIFT,40,36,115,43104349549
XORSHIFT,40,40,116,603927506887
XORSHIFT,40,36,117,47031651850
XORSHIFT,40,35,118,23175905005
XORSHIFT,40,40,119,643158808977
XORSHIFT,40,40,120,859626904232
XORSHIFT,40,39,121,492901936546
XORSHIFT,40,40,122,789310126599
XORSHIFT,40,40,123,740580994753
XORSHIFT,40,40,124,718135840645
XORSHIFT,40,38,125,188553096544
XORSHIFT,40,36,126,55657643015
XORSHIFT,40,40,127,1014251473629
XORSHIFT,40,40,128,888621548284
XORSHIFT,40,39,129,336322902479
XORSHIFT,40,40,130,1006819594631
XORSHIFT,40,40,131,806314367760
XORSHIFT,40,37,132,127945366987
XORSHIFT,40,39,133,470691827142
XORSHIFT,40,40,134,683653572431
XORSHIFT,40,39,135,350453261037
XORSHIFT,40,40,136,994548275889
XORSHIFT,40,38,137,177595187363
XORSHIFT,40,40,138,908460963542
XORSHIFT,40,40,139,910865475332
XORSHIFT,40,39,140,468077133596
XORSHIFT,40,40,141,864154731940
XORSHIFT,40,37,142,68758730191
XORSHIFT,40,33,143,5445061816
XORSHIFT,40,40,144,602622769301
XORSHIFT,40,40,145,622755870418
XORSHIFT,40,40,146,1074971134861
XORSHIFT,40,40,147,605523239287
XORSHIFT,40,40,148,626573007231
XORSHIFT,40,39,149,403550726716
XORSHIFT,40,40,150,760485847584
XORSHIFT,40,39,151,447627231164
XORSHIFT,40,40,152,961996060275
XORSHIFT,40,40,153,1059158823107
XORSHIFT,40,39,154,380781148619
XORSHIFT,40,36,155,47901372862
XORSHIFT,40,37,156,105595358167
XORSHIFT,40,39,157,344249517910
XORSHIFT,40,40,158,1048782500300
XORSHIFT,40,39,159,275670194199
XORSHIFT,40,39,160,307248462666
XORSHIFT,40,38,161,165898486121
XORSHIFT,40,40,162,759894866838
XORSHIFT,40,36,163,37673413454
XORSHIFT,40,40,164,732398044251
XORSHIFT,40,39,165,537741374935
XORSHIFT,40,38,166,205593608219
XORSHIFT,40,39,167,312101220656
XORSHIFT,40,40,168,768468312564
XORSHIFT,40,39,169,515881128136
XORSHIFT,40,39,170,291635969456
XORSHIFT,40,40,171,595744216518
XORSHIFT,40,34,172,11439208629
XORSHIFT,40,38,173,261943177556
XORSHIFT,40,37,174,126282476674
XORSHIFT,40,39,175,307350977736
XORSHIFT,40,39,176,455022336225
XORSHIFT,40,40,177,818250884919
XORSHIFT,40,38,178,179693898946
XORSHIFT,40,40,179,673523497957
XORSHIFT,40,40,180,691725116843
XORSHIFT,40,39,181,406591973042
XORSHIFT,40,40,182,858122901211
XORSHIFT,40,40,183,878761714360
XORSHIFT,40,36,184,41406178224
XORSHIFT,40,40,185,814540948203
XORSHIFT,40,39,186,510953703315
XORSHIFT,40,40,187,643676421713
XORSHIFT,40,40,188,582882463129
XORSHIFT,40,40,189,701222075904
XORSHIFT,40,37,190,102192880267
XORSHIFT,40,38,191,161870213238
XORSHIFT,40,39,192,311840993834
XORSHIFT,40,40,193,624019133245
XORSHIFT,40,38,194,237556086262
XORSHIFT,40,40,195,1066186724112
XORSHIFT,40,40,196,1043857389110
XORSHIFT,40,38,197,255437965642
XORSHIFT,40,39,198,365963573787
XORSHIFT,40,40,199,912302729834
XORSHIFT,40,40,200,677481561681
XORSHIFT,40,40,201,804800456050
XORSHIFT,40,40,202,609012181737
XORSHIFT,40,40,203,668350668317
XORSHIFT,40,39,204,303984467674
XORSHIFT,40,40,205,864159717510
XORSHIFT,40,38,206,180324266969
XORSHIFT,40,38,207,225528966384
XORSHIFT,40,40,208,812701969846
XORSHIFT,40,38,209,259313020490
XORSHIFT,40,40,210,766780597615
XORSHIFT,40,40,211,730396568878
XORSHIFT,40,37,212,101912450975
XORSHIFT,40,39,213,533613484124
XORSHIFT,40,37,214,133568698738
XORSHIFT,40,40,215,636845282797
XORSHIFT,40,39,216,542015476548
XORSHIFT,40,39,217,426595357441
XORSHIFT,40,38,218,177963426969
XORSHIFT,40,38,219,151730550857
XORSHIFT,40,39,220,359759327745
XORSHIFT,40,36,221,64775149960
XORSHIFT,40,40,222,997175360003
XORSHIFT,40,39,223,297496345447
XORSHIFT,40,40,224,889586843237
XORSHIFT,40,40,225,941303203363
XORSHIFT,40,40,226,906687556548
XORSHIFT,40,40,227,831630280637
XORSHIFT,40,40,228,865192701925
XORSHIFT,40,40,229,914494571195
XORSHIFT,40,40,230,779939625855
XORSHIFT,40,37,231,131958959531
XORSHIFT,40,40,232,642545611839
XORSHIFT,40,40,233,822199526021
XORSHIFT,40,38,234,185146825977
XORSHIFT,40,39,235,320340601848
XORSHIFT,40,40,236,582926471107
XORSHIFT,40,40,237,913380984399
XORSHIFT,40,40,238,590322487412
XORSHIFT,40,39,239,278363552904
XORSHIFT,40,40,240,737022174337
XORSHIFT,40,38,241,141738758161
XORSHIFT,40,38,242,203769924532
XORSHIFT,40,39,243,533179116574
XORSHIFT,40,39,244,311793656806
XORSHIFT,40,38,245,232676002676
XORSHIFT,40,38,246,179725470922
XORSHIFT,40,40,247,1072795301754
XORSHIFT,40,39,248,443699117863
XORSHIFT,40,39,249,285853972822
XORSHIFT,40,38,250,212793578047
XORSHIFT,40,40,251,679200614114
XORSHIFT,40,38,252,144319361261
XORSHIFT,40,38,253,254660881198
XORSHIFT,40,40,254,1029354019040
XORSHIFT,40,39,255,332591954413
XORSHIFT,40,40,256,1075297765488
XORSHIFT,40,40,257,899076485001
XORSHIFT,40,40,258,919220633568
XORSHIFT,40,40,259,1006925477942
XORSHIFT,40,38,260,224936630082
XORSHIFT,40,39,261,298325410580
XORSHIFT,40,36,262,48657320975
XORSHIFT,40,38,263,174271488022
XORSHIFT,40,40,264,932128072550
XORSHIFT,40,40,265,800343728708
XORSHIFT,40,38,266,168988197690
XORSHIFT,40,38,267,198391332276
XORSHIFT,40,40,268,981566754730
XORSHIFT,40,40,269,599238737576
XORSHIFT,40,40,270,1047960114486
XORSHIFT,40,39,271,326582679488
XORSHIFT,40,40,272,648211708496
XORSHIFT,40,39,273,482083401635
XORSHIFT,40,37,274,108909417421
XORSHIFT,40,39,275,297834685713
XORSHIFT,40,40,276,783143472682
XORSHIFT,40,39,277,374041346934
XORSHIFT,40,36,278,62284097932
XORSHIFT,40,39,279,534021501697
XORSHIFT,40,40,280,646302927749
XORSHIFT,40,40,281,738945915721
XORSHIFT,40,40,282,899967964848
XORSHIFT,40,40,283,812741237209
XORSHIFT,40,40,284,974259908407
XORSHIFT,40,40,285,948801051857
XORSHIFT,40,40,286,635286541765
XORSHIFT,40,40,287,769236977370
XORSHIFT,40,40,288,1032231547099
XORSHIFT,40,39,289,473610660691
XORSHIFT,40,40,290,682592129492
XORSHIFT,40,39,291,357409255869
XORSHIFT,40,40,292,945369116102
XORSHIFT,40,39,293,396740311115
XORSHIFT,40,39,294,443741732071
XORSHIFT,40,40,295,1007896188801
XORSHIFT,40,40,296,1082309246172
XORSHIFT,40,40,297,1034377497829
XORSHIFT,40,40,298,604877052113
XORSHIFT,40,39,299,362662878145
XORSHIFT,40,39,300,307579899823
XORSHIFT,40,40,301,897950700653
XORSHIFT,40,40,302,631384505807
XORSHIFT,40,37,303,96840443882
XORSHIFT,40,40,304,879972069157
XORSHIFT,40,40,305,745693749441
XORSHIFT,40,40,306,1070375567594
XORSHIFT,40,39,307,381155410537
XORSHIFT,40,37,308,82334383838
XORSHIFT,40,36,309,60019972786
XORSHIFT,40,39,310,540056212229
XORSHIFT,40,37,311,129869941720
XORSHIFT,40,38,312,183636399112
XORSHIFT,40,37,313,85901219266
XORSHIFT,40,40,314,986891194000
XORSHIFT,40,40,315,577766170175
XORSHIFT,40,40,316,926846803546
XORSHIFT,40,40,317,939539445648
XORSHIFT,40,38,318,237448292124
XORSHIFT,40,40,319,1010798929935
XORSHIFT,40,40,320,786161257384
XORSHIFT,40,39,321,545061326332
XORSHIFT,40,37,322,107979563956
XORSHIFT,40,40,323,1007403325221
XORSHIFT,40,40,324,743894812898
XORSHIFT,40,38,325,144658629959
XORSHIFT,40,40,326,618733227386
XORSHIFT,40,35,327,22269900354
XORSHIFT,40,40,328,834871232631
XORSHIFT,40,37,329,105435079850
XORSHIFT,40,38,330,184385208949
XORSHIFT,40,39,331,471640771689
XORSHIFT,40,40,332,856473735442
XORSHIFT,40,39,333,344034670987
XORSHIFT,40,39,334,346552955003
XORSHIFT,40,40,335,1006095172169
XORSHIFT,40,40,336,668028022548
XORSHIFT,40,40,337,628553999532
XORSHIFT,40,38,338,263219532216
XORSHIFT,40,40,339,937498985966
XORSHIFT,40,39,340,372891275445
XORSHIFT,40,40,341,1067200404408
XORSHIFT,40,40,342,907972188911
XORSHIFT,40,38,343,156358186255
XORSHIFT,40,40,344,1028004282025
XORSHIFT,40,39,345,477196255369
XORSHIFT,40,40,346,669381942511
XORSHIFT,40,40,347,821806763107
XORSHIFT,40,40,348,711141305285
XORSHIFT,40,38,349,211523103440
XORSHIFT,40,40,350,992899145756
XORSHIFT,40,38,351,226850720110
XORSHIFT,40,40,352,999508148213
XORSHIFT,40,39,353,394552627139
XORSHIFT,40,38,354,172354617578
XORSHIFT,40,40,355,564218704597
XORSHIFT,40,37,356,75544527135
XORSHIFT,40,40,357,835500148553
XORSHIFT,40,40,358,715099369541
XORSHIFT,40,39,359,513581454110
XORSHIFT,40,40,360,701287568196
XORSHIFT,40,40,361,859303964783
XORSHIFT,40,40,362,677342397193
XORSHIFT,40,40,363,756866719353
XORSHIFT,40,40,364,798335534204
XORSHIFT,40,40,365,635034886939
XORSHIFT,40,40,366,643518336393
XORSHIFT,40,32,367,2800373702
XORSHIFT,40,39,368,412332814767
XORSHIFT,40,40,369,771782180684
XORSHIFT,40,40,370,866817932190
XORSHIFT,40,40,371,856859118600
XORSHIFT,40,36,372,54592950572
XORSHIFT,40,40,373,947305559777
XORSHIFT,40,40,374,594201044840
XORSHIFT,40,39,375,499933756428
XORSHIFT,40,39,376,333426157699
XORSHIFT,40,38,377,222782026836
XORSHIFT,40,40,378,881090456378
XORSHIFT,40,40,379,680768573283
XORSHIFT,40,40,380,763090784969
XORSHIFT,40,40,381,1072641536677
XORSHIFT,40,40,382,725390226938
XORSHIFT,40,40,383,694344572501
XORSHIFT,40,39,384,501230234148
XORSHIFT,40,36,385,67154509813
XORSHIFT,40,39,386,330716390294
XORSHIFT,40,35,387,21372563442
