Algorithm,Tamanho do Número,Tempo para gerar
LCG,40,0.0010152000019540235
LCG,56,0.0010292000236707584
LCG,80,0.0010518666470791989
LCG,128,0.001123733364996345
LCG,168,0.0011425333505030721
LCG,224,0.0012079333476625227
LCG,256,0.001490666645016366
LCG,512,0.0020767333480762318
LCG,1024,0.0021004666729519763
LCG,2048,0.00278380001206339
LCG,4096,0.004872400049256005
XORSHIFT,40,0.0008115332893794402
XORSHIFT,56,0.0007853999741200823
XORSHIFT,80,0.0011866666961092656
XORSHIFT,128,0.0007609999981165553
XORSHIFT,168,0.0007870666607535289
XORSHIFT,224,0.0007900666557058382
XORSHIFT,256,0.0008037999868975021
XORSHIFT,512,0.0009621333119866904
XORSHIFT,1024,0.0012083333337310855
XORSHIFT,2048,0.0014407999830533904
XORSHIFT,4096,0.00277846665509666
