Algorithm,n_bits_max,n_bits,Random_Number
LCG,40,39,459978934237
LCG,56,55,32225078428488289
LCG,80,80,608079027692173809654269
LCG,128,128,290112245503874701755791545058811892193
LCG,168,168,342055481648443232421180537350200288518160826323517
LCG,224,223,7608821262639401302018881493289220035249660614639736162349203198941
LCG,256,255,53086003014854705170804028701458799956395520400679312582023311589729316242109
LCG,512,511,4550779316344738183082551656121022612280492274024004800893872956597264349781180873608884765779510074125026492840356062995148638319198376264134884690326717
LCG,1024,1024,169673526571701318319849520430879071008283463437440986225018764823052737562441972555727550154015994807049813468901896122777816330206789005183336053405620268693169687027538998421374249873382923757667605512061470664774789042423027272127443633166944868634158542389091723353288875162505125035912716152786171845889
LCG,2048,2048,30141995660494655314955855737433535747412306216179726600795945902976681376532767039470512241185889720689691351868176228653624072714932153864541818347088642656891674973272656806792784116296799660980803323093421044825364503698245664269394464255271572530572726752504064728858670281325102188085386649370397534507245065101341959663726488466861616749690264351238242058854870350562124172848769954438939827921001855461011107002005805942916115733106012796097523601596679852937209390692689267358371925103939835624440072935463913687456058992273503994144586598764102015261116859662701965466168882429956896515868412381162168787201
LCG,4096,4096,858552753476913166286419051412032169250849565035620887906983626962887928594485361638317847901178196964310016186232602193889032888335276779548637472519330110825414739798106185569372562950889949815666110889282973844245834300543496642109081201023021592607635352517580852076723688956330676663592539163076078865572195749152042607855915407189609384651453734906853358283418807684035285860203451368603741686110581733152048233543182582634494997194668287376968003201987034482707023972958809979591872120809918674913056692262420331274476280034286914186098067636671886355915038874552736920657666639387116903522620466538224500066712265037470125006113718496620846018515086920883613168753767405073770445901585428136269471013200149922700807050726576591553125981016830707898694352025520720081433697568385414018138151773755231639593954326800046550109934659471202697323276377718099459529106634704308301338517170293289773299655393761591995167368193187972484116583511624366729925800453442887387427595758950980141622924741274876158224045171842382949446529617668030915250085652510747765481645671613283501082621989978841509778920934693275814747735202542169527314149015742390112982434303372101614569367352362110598983525788246448000362213545296699030688249341
