Algorithm,n_bits_max,n_bits,Random_Number
XORSHIFT,40,40,588506868371
XORSHIFT,56,56,58997585980235521
XORSHIFT,80,79,562309100959568141409889
XORSHIFT,128,126,56782653340281210568332155238369807493
XORSHIFT,168,168,326774889317470411289932350666601102493913120698849
XORSHIFT,224,224,20701736179723480541220042768940788489628849335537718275582856009589
XORSHIFT,256,255,38132232866749313462833688910778960199663876032151033872541309648372995028279
XORSHIFT,512,512,8730419339646004366829516881939712942401694732066302125008830881340827400533901369416372525005440158437082170455094717541561160728794542164295934985646291
XORSHIFT,1024,1024,90538734034704130634385896696531795030317868826203244462474572162597517712334781805569124993900583610960109106343935028907390157779172122531884823702073718378455900705190326206288527022305563157573727653183951029169203624393115527080007181143270520125278182125295017171604991212539153675515505563416899653553
XORSHIFT,2048,2047,8121669760482954286966804981275304344310614806483967101636994661522455598723884109554834994686160782380716499158915932205180087567874518826335363835055572533443768643637865887419282126148112023148846982073064156797154025352119212477511893670212751944825003226646428221102444809977600565774659900268976217928891778549429796215208210750764188687637725563847990826009615915031604403230735761685526490256553312902279969256637088090607614092981014782111760742186573552731776636281022048801663872413031758740957455235686939501595621677515265741249448006446704252468009800881756793852558017457028360088264961924300350756129
XORSHIFT,4096,4096,622138661820952765739681517793998290834991542094314223907789867239244769875968824410855785629336764742366387870335835032511517395647195286241409662036790275345070385066688274499125740069796080092811692978226166490120635048201852398250453789894149258499127861524269940293968383340157144920160836168678277273625287207601431990483837610949741943432578460313027200313649378879015838771551610536498871870033723131371518402197839622839714656892074051848426648451500905332994835854558491404181022422015695283098627090817389374384545330995680968197785610671364588416495461536046434375385351775700356823177831796753672175851944231180037921006216910286307442096577103102096678033727980566233693647598503778571375386343015739287733297019479058371643746570735496230406126955789071532474634303186839400186859279341156443639801598435116443270425645602230325831221627684137301249921258508153455390388049024970237758378271008158437138297403508719213822558536657977011300847927425016471152745150581912633156186097669750226760395089588874361942334329598999276528164871224064343493554178149479283889189588143733379867024026410099914768152541043663386605098649366750490295437193495271049457361947665622028614283373220037128659903547914785447125518670469
