Algorithm,Tamanho do Número,Tempo para gerar
LCG,40,0.07420000110869296
LCG,56,0.015768000012030825
LCG,80,0.024124000046867877
LCG,128,0.04689148939158916
LCG,168,0.06775294117259739
LCG,224,0.18333999996684724
LCG,256,0.14988809523077049
LCG,512,0.6537499999947411
LCG,1024,3.9688222222150533
LCG,2048,23.700672554347737
LCG,4096,160.8716028348688
XORSHIFT,40,0.009959999927862857
XORSHIFT,56,0.0088588235217578
XORSHIFT,80,0.013821874972563819
XORSHIFT,128,0.023147435898023944
XORSHIFT,168,0.033022147650113985
XORSHIFT,224,0.05966486486130151
XORSHIFT,256,0.07558996416049413
XORSHIFT,512,0.35399292364859175
XORSHIFT,1024,1.9193452282170973
XORSHIFT,2048,9.452495238097722
XORSHIFT,4096,50.25622628205056
