Algorithm,Tamanho do Número,Tempo para gerar
LCG,40,0.001459933345662042
LCG,56,0.001128666664347596
LCG,80,0.001484066663882307
LCG,128,0.0015346666768891737
LCG,168,0.0013190666492543337
LCG,224,0.0016335999801716146
LCG,256,0.0013010000038775615
LCG,512,0.0016738666551342856
LCG,1024,0.002440466678914769
LCG,2048,0.002941933341692978
LCG,4096,0.0051302666530925
XORSHIFT,40,0.0007228666812200876
XORSHIFT,56,0.0007246666706729836
XORSHIFT,80,0.0007271333015523851
XORSHIFT,128,0.0007593333357363008
XORSHIFT,168,0.0008442666476184968
XORSHIFT,224,0.0009829999956612787
XORSHIFT,256,0.0007702000099622335
XORSHIFT,512,0.0009550666388046617
XORSHIFT,1024,0.0011261333675065544
XORSHIFT,2048,0.0014543333333373691
XORSHIFT,4096,0.002792866637416106
