Algorithm,n_bits,Prime_Number
LCG,39,459978934237
LCG,40,587409377629
LCG,39,387367757761
LCG,40,991782549281
LCG,35,19903037761
LCG,39,452170861057
LCG,54,13267016276919677
LCG,55,30511486067575229
LCG,54,12256999470601441
LCG,55,22886211407139389
LCG,78,229838825647920184075873
LCG,80,1087775290531545985090049
LCG,75,36125817451627817441117
LCG,79,326913335240164131774017
LCG,80,788648897308607264184289
LCG,80,1199330865939264017812637
LCG,128,287268107498949039173105838216385330909
LCG,128,254345280834816249415526403304600579169
LCG,128,217163859850689050961031368156454414337
LCG,128,296774026575416059161879556932425846081
LCG,128,279498999651182952998295203027256426241
LCG,168,215017617015959743198164460457680391347004092416061
LCG,224,22893207959615116240882302363158581817797541448083043700693976061949
LCG,223,8371996647794290071570351204837713373750734864094244221692186028509
LCG,224,22657326111435677867439414942618174736937506072816276409201052293473
LCG,512,12154267542342246173093634362461199511846424318770234135915558088511040272007670690973674855232946247145246345956142812528034534715743540641244713798706593
