Algorithm,n_bits,Prime_Number
LCG,40,588506868371
LCG,37,80119160983
LCG,36,52872466817
LCG,35,27953958349
LCG,37,98614065359
LCG,37,98694154057
LCG,56,40995166197556709
LCG,56,42560357964550661
LCG,80,1189766880943958294478349
LCG,127,107125849284939048539514252600496260967
LCG,123,10573770195512586870661653306894929407
LCG,128,267059771358510547170241186449496038467
LCG,123,9350275377231909106749278557589488573
LCG,256,113969157015437044684077860650465234308475012650257115386118129875686330059187
LCG,256,64086399116004479183499956881244252908397724426808765717494592714110906939539
LCG,510,1820117376295046942511859742625201662323376743551830351851942797946352722983737609872547257419489390929668918402966429413793390246036221960736784880970933
