Algorithm,Tamanho do Número,Numero Primo gerado,Tempo para gerar
XORSHIFT,40,588506868371,0.06549999943672447 ms
XORSHIFT,37,80119160983,0.056799999583745375 ms
XORSHIFT,36,52872466817,0.0501000004078378 ms
XORSHIFT,35,27953958349,0.0731999998606625 ms
XORSHIFT,37,98614065359,0.0486999997519888 ms
XORSHIFT,37,98694154057,0.040100000660459045 ms
XORSHIFT,56,40995166197556709,0.09389999922859715 ms
XORSHIFT,56,42560357964550661,0.05729999975301325 ms
XORSHIFT,80,1189766880943958294478349,0.09269999918615213 ms
XORSHIFT,127,107125849284939048539514252600496260967,0.22700000045006163 ms
XORSHIFT,123,10573770195512586870661653306894929407,0.1999000005525886 ms
XORSHIFT,128,267059771358510547170241186449496038467,0.21740000011050142 ms
XORSHIFT,123,9350275377231909106749278557589488573,0.20179999955871608 ms
XORSHIFT,256,113969157015437044684077860650465234308475012650257115386118129875686330059187,0.7785000007061171 ms
XORSHIFT,256,64086399116004479183499956881244252908397724426808765717494592714110906939539,0.7635000001755543 ms
XORSHIFT,510,1820117376295046942511859742625201662323376743551830351851942797946352722983737609872547257419489390929668918402966429413793390246036221960736784880970933,3.0211000002964283 ms
