Algorithm,n_bits,Prime_Number
Miller-Rabin,40,1068829377809
Miller-Rabin,39,344420074949
Miller-Rabin,39,386845636399
Miller-Rabin,40,803480288297
Miller-Rabin,40,970416880883
Miller-Rabin,40,995969386361
Miller-Rabin,40,1086767322101
Miller-Rabin,40,610622194697
Miller-Rabin,40,873362542397
Miller-Rabin,40,742913969713
Miller-Rabin,39,324053682893
Miller-Rabin,40,819748749559
Miller-Rabin,39,310122363409
Miller-Rabin,40,983272745669
Miller-Rabin,39,519067317959
Miller-Rabin,40,585970635781
Miller-Rabin,40,909155650367
Miller-Rabin,37,81989031239
Miller-Rabin,39,521052771821
Miller-Rabin,40,678564572641
Miller-Rabin,40,776420235529
Miller-Rabin,38,165122144443
Miller-Rabin,38,141002232961
Miller-Rabin,40,550755293293
Miller-Rabin,40,904461119509
Miller-Rabin,40,736432096663
Miller-Rabin,39,312493297409
Miller-Rabin,40,596250846761
Miller-Rabin,39,357430082641
Miller-Rabin,39,396185255339
Miller-Rabin,37,72647590567
Miller-Rabin,39,303023085803
Miller-Rabin,40,553283025847
Miller-Rabin,40,669003197053
Miller-Rabin,40,983766085831
Miller-Rabin,39,392730431339
Miller-Rabin,40,1059956235781
Miller-Rabin,37,116540738813
Miller-Rabin,40,973700165903
Miller-Rabin,39,419347384133
Miller-Rabin,37,104614166807
Miller-Rabin,40,949377833101
Miller-Rabin,56,52768460975495621
Miller-Rabin,56,44595158614453397
Miller-Rabin,55,19970123175213439
Miller-Rabin,54,14817085753329109
Miller-Rabin,53,8975425332816583
Miller-Rabin,56,64821664585659997
Miller-Rabin,55,28861206740467187
Miller-Rabin,56,55305882897991853
Miller-Rabin,54,11829967071951641
Miller-Rabin,55,27919955987024483
Miller-Rabin,55,24591608551749049
Miller-Rabin,54,13374602346468991
Miller-Rabin,56,59641336297133873
Miller-Rabin,56,71272802716270063
Miller-Rabin,53,7560143751086137
Miller-Rabin,54,14552042600328301
Miller-Rabin,53,6412872847681957
Miller-Rabin,56,44522545798824001
Miller-Rabin,53,4689595478134751
Miller-Rabin,56,57146623387660013
Miller-Rabin,55,33477583482631087
Miller-Rabin,56,40473315179302123
Miller-Rabin,55,34627451589631361
Miller-Rabin,45,21946671570403
Miller-Rabin,52,3761749943777297
Miller-Rabin,53,6716587064617237
Miller-Rabin,55,31116217995314533
Miller-Rabin,56,40562461376554087
Miller-Rabin,56,49945217196475729
Miller-Rabin,55,29052325323057997
Miller-Rabin,56,52034191926555037
Miller-Rabin,54,15773979116609489
Miller-Rabin,80,1134645367673268458408309
Miller-Rabin,80,1199717501919247509635221
Miller-Rabin,80,1094763794154228249354769
Miller-Rabin,79,544935337487759301682483
Miller-Rabin,79,378995897561183990361083
Miller-Rabin,79,430291577551944469628107
Miller-Rabin,80,1199074670776097176607687
Miller-Rabin,80,678950517533387554124339
Miller-Rabin,80,882684042589621696102717
Miller-Rabin,80,966658900960326589477249
Miller-Rabin,80,1200940103826738444054169
Miller-Rabin,80,809689593172630498425521
Miller-Rabin,80,794590988493509467967963
Miller-Rabin,80,1057542093437383043452307
Miller-Rabin,79,465780783427015775170427
Miller-Rabin,79,340000997519691636115777
Miller-Rabin,80,802816001195439721987891
Miller-Rabin,126,74848709218747729294443547978264078231
Miller-Rabin,128,187508458246581261259326403303775425867
Miller-Rabin,127,138425936631232612482935849133023450459
Miller-Rabin,125,28979669470426578781676615382410213233
Miller-Rabin,125,41489570102401845803487549628631577409
Miller-Rabin,128,280675753855842242626918287738513793159
Miller-Rabin,125,36121251100159244218868863865567806043
Miller-Rabin,126,43959739718443042614682081250493427097
Miller-Rabin,128,200829911255290288918838551855108676017
Miller-Rabin,128,275944014881261182642958263770325478203
Miller-Rabin,128,248378902891456002545583883386015511981
Miller-Rabin,128,316493189438933590270184775677301749609
Miller-Rabin,128,305341051790662205969360120236944842309
Miller-Rabin,124,12651582633019784552603119019928833203
Miller-Rabin,128,313624653857114343618675658764101031479
Miller-Rabin,125,33717937218438863326992975412883616563
Miller-Rabin,168,252416905835804658887886830559269850516135992814311
Miller-Rabin,168,231610270575691406027641170539177216714571708152963
Miller-Rabin,163,11623638187123198844801736081884055393784768494419
Miller-Rabin,168,221307536679589217799011203402353295393268709328487
Miller-Rabin,168,253639543998357493961553350340975855650916961532789
Miller-Rabin,168,284253938078756322338616025529817862266766399999057
Miller-Rabin,167,102058051626635286217983247701054230800589704979341
Miller-Rabin,168,327075906280404769073836305232831527708308742200971
Miller-Rabin,162,4250815723784438105958483893259805422129732547601
Miller-Rabin,167,172193572064682001426760339661438477540456881553511
Miller-Rabin,223,7570779506982052809912591171777555496525937847636759294736300808959
Miller-Rabin,224,21064487774678069974453176368705780420104518451822151422474908697489
Miller-Rabin,223,7450945206919970582893273504307398782000569928924124721126755711469
Miller-Rabin,223,7681347044076358690166164040003289204396382556826686734871103930869
Miller-Rabin,222,6085363551511170297541009091851519952440101069508275610829385428369
Miller-Rabin,224,19759032271458295653526457273020265834289953271339227200037408667533
Miller-Rabin,223,12824889923547679754143701957280531540006340408759704621677979066361
Miller-Rabin,224,25493512455149577675007319287969982306673463435029868450910437658059
Miller-Rabin,221,1885604691724147442306158672359320537577151087079925470218908940813
Miller-Rabin,224,26891033911941532286037488238327981652040582438202345616457283281581
Miller-Rabin,223,9962015567094615845861135935145755238918360241264481523790066329047
Miller-Rabin,256,77732965734808310518245166148996510659133856802778505376550110435149139753573
Miller-Rabin,254,17798638798536938516429941812089375189503311598708833354091631326955381052611
Miller-Rabin,255,33753468463321090184980083138338140770922082684202021635763539071901884255247
Miller-Rabin,512,8086607476186857671078009470662968660874098304020189647222138369078138260050422694637060380867872513089172363243452169966204407137978463448787182299300817
Miller-Rabin,511,6045877951781531313273353981684821043842479972302784694112436196933704628363583475252417140705053413890721646132942094774743107644994160158702892805371799
Miller-Rabin,510,2188243641846226365796138253732794211766933624991645200568694365277648026295491284113177656184906713820894041773460151597266236162453385724051893394948641
Miller-Rabin,512,6857187404520383857841023250925792781807463775035841958029913184887261433354324377731743940165595855023313066567943947367201775286061654650726164541079123
Miller-Rabin,1023,48949810424236441421202000594200120410929699639765947826066302642661199455314856838483640990013671813970143152111261608745173953525289647022074127317233117259639624801527332271341969570717364776107197935760059490192131226201979505465576277326583041650435664097707745330877569488111521927071915336211351249473
Miller-Rabin,2048,22005113538599533332712504980389722200423364440221652331567079559418971872255568194079435408504003277481335790143678305117932468817246917953734050599561747500355514121008507222162742873271902471414196602499121838603619893028454338652843635811457074742733918994390853888253832784512581084319247265520167659346142515288245559398432598052683755044107691252870279741194373616035805531345980165029523157860252985495848149935621660647027068589139914218994392900531956550603970190868282084530478149122918922061875818300541251823199009388751955784880287607119447141025127518917551371986598661850084100419177653135758900855757
Fermat,40,1068829377809
Fermat,39,344420074949
Fermat,39,386845636399
Fermat,40,803480288297
Fermat,40,970416880883
Fermat,40,995969386361
Fermat,40,1086767322101
Fermat,40,610622194697
Fermat,40,873362542397
Fermat,40,742913969713
Fermat,39,324053682893
Fermat,40,819748749559
Fermat,39,310122363409
Fermat,40,983272745669
Fermat,39,519067317959
Fermat,40,585970635781
Fermat,40,909155650367
Fermat,37,81989031239
Fermat,39,521052771821
Fermat,40,678564572641
Fermat,40,776420235529
Fermat,38,165122144443
Fermat,38,141002232961
Fermat,40,550755293293
Fermat,40,904461119509
Fermat,40,736432096663
Fermat,39,312493297409
Fermat,40,596250846761
Fermat,39,357430082641
Fermat,39,396185255339
Fermat,37,72647590567
Fermat,39,303023085803
Fermat,40,553283025847
Fermat,40,669003197053
Fermat,40,983766085831
Fermat,39,392730431339
Fermat,40,1059956235781
Fermat,37,116540738813
Fermat,40,973700165903
Fermat,39,419347384133
Fermat,37,104614166807
Fermat,40,949377833101
Fermat,56,52768460975495621
Fermat,56,44595158614453397
Fermat,55,19970123175213439
Fermat,54,14817085753329109
Fermat,53,8975425332816583
Fermat,56,64821664585659997
Fermat,55,28861206740467187
Fermat,56,55305882897991853
Fermat,54,11829967071951641
Fermat,55,27919955987024483
Fermat,55,24591608551749049
Fermat,54,13374602346468991
Fermat,56,59641336297133873
Fermat,56,71272802716270063
Fermat,53,7560143751086137
Fermat,54,14552042600328301
Fermat,53,6412872847681957
Fermat,56,44522545798824001
