Algorithm,n_bits,Prime_Number
Miller-Rabin,40,550769718113
Miller-Rabin,56,36879635108318957
Miller-Rabin,80,657058743001897790924081
Miller-Rabin,128,259620305553281324303375309237232682483
Miller-Rabin,168,229493293771707042923874315730576689862969609321003
Miller-Rabin,224,15304331927226727456743277191860911611811921515320415260293463619641
Miller-Rabin,256,114654865268760202703017476780113429840195442388037616656545974895643989218767
Miller-Rabin,512,10556282587329655598386528166171433166292201853193425843346308081904530781729675682561374314465770282449535342686646231068758790882909342249990386647768141
Miller-Rabin,1024,117229935639705965975313611303259284384225938354452413848702407626182649427120897151321006524458566310547310545087878100326219740805500819131713299327707385989796799873665438349890374374197494779300315218996562385099133234681009381374287210416778607414927274751234365078157698541070864829971874669905764450891
Miller-Rabin,2048,17436008247147386938059584588397342891097065927873314709257076334281027654099127491545585430263760874983975753204707153530787174466894566806551019701312104759668753987515327015105647475518340274992575378838707467367102020100299585747523708580990642435995127193747442550323217807245405817491933483092476266113335344978628579697034996273752469409694141799898913766725753860990628021834070483323360711857604227738618459819233632530479271405608398488121593158545134195745524403774287277452215850043903798849462657384329901711149343462915175617867096971331682484794234146560458041623991400994708505058444900359526432566531
Miller-Rabin,4096,543599518336303884577621388626705912856927339617936285220046123695016479416905984617665529283090495789170869072400258308940232264035797913373651025653293953578661716477493443233208317075547921761275244442626322536568691353217020085674891051897655718221402815546836368794860928890046712298805420028839691303335334675980796664697195574494487405475172915141314547918042861762364695109609430626169304386696657289471853278334436688365445202830570241857034705580047948608117607820101188873112444685262919354624325251200871145707035535743411370321653762773891302751516327655457774390363498952376986377117991793266626484105902562272282199142308002518045172670095350573858004977626297275631749627897045764473941680465494015409079890283689420975732564597118206900532835076717396958885278941458178872903647016688589582573526011935056725134829365938999106480143462284245066331800134668747249932048231389367038911752914672211177032280707916114649840710022944917925505038912846910200568380091286178962136004820359513110092184788368475994708654838565803117045416780957526109839041146312619192561111971569705304728360106337150228357335093049017502978006917643420500940534625842711614050296825611204659746720392244615173814483797947154511682046620053
