Algorithm;Tamanho do Número;Numero Primo gerado;Tempo para gerar
Miller-Rabin;40;1068829377809;0.07499999992433004 ms
Miller-Rabin;39;344420074949;0.05249999958323315 ms
Miller-Rabin;39;386845636399;0.06589999975403771 ms
Miller-Rabin;40;803480288297;0.04519999856711365 ms
Miller-Rabin;40;970416880883;0.04369999805931002 ms
Miller-Rabin;40;995969386361;0.047500001528533176 ms
Miller-Rabin;40;1086767322101;0.044699998397845775 ms
Miller-Rabin;40;610622194697;0.03939999805879779 ms
Miller-Rabin;40;873362542397;0.04579999949783087 ms
Miller-Rabin;40;742913969713;0.048499998229090124 ms
Miller-Rabin;39;324053682893;0.0411000000895001 ms
Miller-Rabin;40;819748749559;0.04289999924367294 ms
Miller-Rabin;39;310122363409;0.039200000173877925 ms
Miller-Rabin;40;983272745669;0.04430000262800604 ms
Miller-Rabin;39;519067317959;0.0444999968749471 ms
Miller-Rabin;40;585970635781;0.03780000042752363 ms
Miller-Rabin;40;909155650367;0.045099997805664316 ms
Miller-Rabin;37;81989031239;0.04079999780515209 ms
Miller-Rabin;39;521052771821;0.042100000428035855 ms
Miller-Rabin;40;678564572641;0.04660000195144676 ms
Miller-Rabin;40;776420235529;0.044299998990027234 ms
Miller-Rabin;38;165122144443;0.04280000212020241 ms
Miller-Rabin;38;141002232961;0.04260000059730373 ms
Miller-Rabin;40;550755293293;0.039200000173877925 ms
Miller-Rabin;40;904461119509;0.03769999966607429 ms
Miller-Rabin;40;736432096663;0.04360000093583949 ms
Miller-Rabin;39;312493297409;0.04189999890513718 ms
Miller-Rabin;40;596250846761;0.04239999907440506 ms
Miller-Rabin;39;357430082641;0.04149999949731864 ms
Miller-Rabin;39;396185255339;0.04470000203582458 ms
Miller-Rabin;37;72647590567;0.03610000203480013 ms
Miller-Rabin;39;303023085803;0.040800001443130895 ms
Miller-Rabin;40;553283025847;0.04289999924367294 ms
Miller-Rabin;40;669003197053;0.04450000051292591 ms
Miller-Rabin;40;983766085831;0.038800000766059384 ms
Miller-Rabin;39;392730431339;0.042900002881651744 ms
Miller-Rabin;40;1059956235781;0.04100000296602957 ms
Miller-Rabin;37;116540738813;0.040800001443130895 ms
Miller-Rabin;40;973700165903;0.040099999750964344 ms
Miller-Rabin;39;419347384133;0.039299997297348455 ms
Miller-Rabin;37;104614166807;0.03809999907389283 ms
Miller-Rabin;40;949377833101;0.03809999907389283 ms
Miller-Rabin;56;52768460975495621;0.061499998992076144 ms
Miller-Rabin;56;44595158614453397;0.06310000026132911 ms
Miller-Rabin;55;19970123175213439;0.10380000094301067 ms
Miller-Rabin;54;14817085753329109;0.056400000175926834 ms
Miller-Rabin;53;8975425332816583;0.05539999983739108 ms
Miller-Rabin;56;64821664585659997;0.06009999924572185 ms
Miller-Rabin;55;28861206740467187;0.05999999848427251 ms
Miller-Rabin;56;55305882897991853;0.05280000186758116 ms
Miller-Rabin;54;11829967071951641;0.052600000344682485 ms
Miller-Rabin;55;27919955987024483;0.051399998483248055 ms
Miller-Rabin;55;24591608551749049;0.0562999994144775 ms
Miller-Rabin;54;13374602346468991;0.057699999160831794 ms
Miller-Rabin;56;59641336297133873;0.06500000017695129 ms
Miller-Rabin;56;71272802716270063;0.05660000169882551 ms
Miller-Rabin;53;7560143751086137;0.05270000110613182 ms
Miller-Rabin;54;14552042600328301;0.05880000026081689 ms
