Algorithm,n_bits_max,n_bits,Index,Random_Number
LCG,40,39,0,459978934237
LCG,40,38,1,236237580257
LCG,40,40,2,597609916157
LCG,40,40,3,653632174529
LCG,40,40,4,955128917021
LCG,40,40,5,697933256097
LCG,40,40,6,824864978749
LCG,40,40,7,838502505345
LCG,40,40,8,754145159261
LCG,40,40,9,559752801121
LCG,40,39,10,375079853949
LCG,40,39,11,296767087937
LCG,40,40,12,804293983389
LCG,40,40,13,925638011169
LCG,40,40,14,1081881108413
LCG,40,40,15,726387070721
LCG,40,40,16,1028213090525
LCG,40,35,17,18473750241
LCG,40,40,18,864055687165
LCG,40,40,19,828268998849
LCG,40,37,20,128557657373
LCG,40,36,21,54652869793
LCG,40,40,22,860632442941
LCG,40,40,23,961405383297
LCG,40,40,24,587409377629
LCG,40,40,25,591641629281
LCG,40,40,26,752656117885
LCG,40,40,27,558847892545
LCG,40,40,28,787226066333
LCG,40,38,29,270058696737
LCG,40,39,30,482315112637
LCG,40,39,31,330421595649
LCG,40,38,32,160574556637
LCG,40,39,33,284478485985
LCG,40,38,34,191805311229
LCG,40,39,35,387367757761
LCG,40,39,36,394936135197
LCG,40,40,37,718146331553
LCG,40,37,38,99916880189
LCG,40,40,39,817265478017
LCG,40,34,40,12524923485
LCG,40,40,41,668002302305
LCG,40,40,42,934819332477
LCG,40,38,43,242466181953
LCG,40,39,44,535780540061
LCG,40,40,45,991782549281
LCG,40,36,46,43962007997
LCG,40,40,47,1089414513921
LCG,40,40,48,667754523357
LCG,40,40,49,812385688801
LCG,40,39,50,292239677949
LCG,40,40,51,609415225025
LCG,40,40,52,1096098361117
LCG,40,40,53,904924277409
LCG,40,39,54,481061358141
LCG,40,40,55,567475413121
LCG,40,40,56,747919117149
LCG,40,40,57,703602368609
LCG,40,40,58,892146455165
LCG,40,39,59,346130549313
LCG,40,39,60,507140734877
LCG,40,40,61,954327580193
LCG,40,39,62,385267724989
LCG,40,40,63,883325508609
LCG,40,40,64,719195147229
LCG,40,40,65,949221917665
LCG,40,40,66,1061579123453
LCG,40,40,67,683933455809
LCG,40,40,68,798099877917
LCG,40,38,69,169916527009
LCG,40,38,70,220282911549
LCG,40,39,71,328867526529
LCG,40,39,72,454885796957
LCG,40,40,73,972376016737
LCG,40,40,74,1013436883837
LCG,40,35,75,19903037761
LCG,40,40,76,966827065501
LCG,40,38,77,149904966945
LCG,40,40,78,635935155133
LCG,40,40,79,1086607028993
LCG,40,39,80,508878793949
LCG,40,37,81,91942726369
LCG,40,40,82,649602907133
LCG,40,39,83,391539379393
LCG,40,40,84,658472120605
LCG,40,40,85,987020048545
LCG,40,39,86,477461785661
LCG,40,40,87,654750207617
LCG,40,39,88,502886190429
LCG,40,39,89,389437156961
LCG,40,40,90,1074920305789
LCG,40,39,91,344970360897
LCG,40,40,92,957904880029
