Algorithm,n_bits_max,n_bits,Index,Random_Number
XORSHIFT,40,40,0,1096451671942
XORSHIFT,40,39,1,373398407472
XORSHIFT,40,40,2,679286389120
XORSHIFT,40,38,3,232511478967
XORSHIFT,40,40,4,706474465213
XORSHIFT,40,38,5,195893349906
XORSHIFT,40,40,6,583100999904
XORSHIFT,40,37,7,85814922765
XORSHIFT,40,40,8,1019535498582
XORSHIFT,40,39,9,363377081509
XORSHIFT,40,39,10,283225747604
XORSHIFT,40,36,11,43904433653
XORSHIFT,40,40,12,1038794198430
XORSHIFT,40,40,13,561622457501
XORSHIFT,40,40,14,588506868371
XORSHIFT,40,40,15,991576880709
XORSHIFT,40,40,16,782101320490
XORSHIFT,40,37,17,80119160983
XORSHIFT,40,39,18,330339049826
XORSHIFT,40,37,19,76775522026
XORSHIFT,40,40,20,677274794834
XORSHIFT,40,40,21,929412687835
XORSHIFT,40,38,22,267694937806
XORSHIFT,40,40,23,1090482438092
XORSHIFT,40,40,24,818382651864
XORSHIFT,40,40,25,703911857745
XORSHIFT,40,40,26,1065207030945
XORSHIFT,40,40,27,776805005999
XORSHIFT,40,38,28,225018854866
XORSHIFT,40,40,29,624833232730
XORSHIFT,40,38,30,245251858260
XORSHIFT,40,40,31,858720092658
XORSHIFT,40,37,32,135389347031
XORSHIFT,40,31,33,1773942768
XORSHIFT,40,40,34,867656911473
XORSHIFT,40,40,35,556677621798
XORSHIFT,40,39,36,454771039565
XORSHIFT,40,40,37,851215273442
XORSHIFT,40,40,38,572553760941
XORSHIFT,40,40,39,564521803753
XORSHIFT,40,40,40,630956274968
XORSHIFT,40,40,41,555635817055
XORSHIFT,40,40,42,563911112198
XORSHIFT,40,39,43,549710286842
XORSHIFT,40,36,44,52872466817
XORSHIFT,40,40,45,742277099265
XORSHIFT,40,40,46,1053122818245
XORSHIFT,40,38,47,243861827400
XORSHIFT,40,40,48,1069907987802
XORSHIFT,40,39,49,295297139217
XORSHIFT,40,40,50,745006701050
XORSHIFT,40,40,51,859730375659
XORSHIFT,40,33,52,4776518979
XORSHIFT,40,39,53,530065038478
XORSHIFT,40,35,54,27953958349
XORSHIFT,40,38,55,193361941702
XORSHIFT,40,38,56,211871064616
XORSHIFT,40,39,57,462326821013
XORSHIFT,40,40,58,861637938005
XORSHIFT,40,37,59,98614065359
XORSHIFT,40,37,60,136366662766
XORSHIFT,40,40,61,814269178435
XORSHIFT,40,38,62,201525754907
XORSHIFT,40,40,63,1046807560341
XORSHIFT,40,40,64,588820380471
XORSHIFT,40,37,65,70034415346
XORSHIFT,40,39,66,365069580685
XORSHIFT,40,39,67,477254296126
XORSHIFT,40,37,68,86368267732
XORSHIFT,40,38,69,161899007216
XORSHIFT,40,37,70,91937300936
XORSHIFT,40,40,71,869435435141
XORSHIFT,40,40,72,843918632636
XORSHIFT,40,35,73,22595867403
XORSHIFT,40,40,74,761877897523
XORSHIFT,40,38,75,185770820091
XORSHIFT,40,39,76,472002883010
XORSHIFT,40,38,77,149799363350
XORSHIFT,40,40,78,665255883353
XORSHIFT,40,37,79,69803080119
XORSHIFT,40,39,80,358555980423
XORSHIFT,40,38,81,167546135074
XORSHIFT,40,40,82,597972138275
XORSHIFT,40,39,83,531437725380
XORSHIFT,40,38,84,178936393020
XORSHIFT,40,40,85,1031434574263
XORSHIFT,40,37,86,102432809513
XORSHIFT,40,38,87,143497458263
XORSHIFT,40,39,88,387310997116
XORSHIFT,40,40,89,608583573439
XORSHIFT,40,40,90,925666348400
XORSHIFT,40,40,91,1000784568934
XORSHIFT,40,35,92,29992114036
XORSHIFT,40,33,93,7499408662
XORSHIFT,40,37,94,94563894072
XORSHIFT,40,40,95,630813658994
XORSHIFT,40,40,96,646813085267
XORSHIFT,40,38,97,163284829182
XORSHIFT,40,39,98,363079744805
XORSHIFT,40,37,99,98694154057
XORSHIFT,56,55,0,25111969418232781
XORSHIFT,56,55,1,20645713039465781
XORSHIFT,56,56,2,66904301957394027
XORSHIFT,56,53,3,6237064228330723
XORSHIFT,56,56,4,40523652920985135
XORSHIFT,56,55,5,18492053485541088
XORSHIFT,56,56,6,38480067347467032
XORSHIFT,56,56,7,42825906938846431
XORSHIFT,56,56,8,44081752474002961
XORSHIFT,56,56,9,69791213903648885
XORSHIFT,56,56,10,48136395495902599
XORSHIFT,56,56,11,44403256501488473
XORSHIFT,56,54,12,12995184500350334
XORSHIFT,56,56,13,53555797815169694
XORSHIFT,56,54,14,16762349278636928
XORSHIFT,56,56,15,67826189523503797
XORSHIFT,56,54,16,9739216617804572
XORSHIFT,56,55,17,25166868013883583
XORSHIFT,56,56,18,60895628201977629
XORSHIFT,56,56,19,61477707797798625
XORSHIFT,56,54,20,16467098779737053
XORSHIFT,56,56,21,38816634059295519
XORSHIFT,56,55,22,23149062969138163
XORSHIFT,56,55,23,28999484539147480
XORSHIFT,56,56,24,61184852267474533
XORSHIFT,56,54,25,11541360478749671
XORSHIFT,56,54,26,11637614398007774
XORSHIFT,56,55,27,30533059418782911
XORSHIFT,56,55,28,20326473451795795
XORSHIFT,56,56,29,59478859045136918
XORSHIFT,56,56,30,42852810222851764
XORSHIFT,56,56,31,58142611198242309
XORSHIFT,56,56,32,37851163732179873
XORSHIFT,56,56,33,62986709644987984
XORSHIFT,56,56,34,50971312784050607
XORSHIFT,56,55,35,26431787366100008
XORSHIFT,56,55,36,25648972261961780
XORSHIFT,56,56,37,45408804306121204
XORSHIFT,56,56,38,48854001265340352
XORSHIFT,56,56,39,54949706834908543
XORSHIFT,56,55,40,32853489519294876
XORSHIFT,56,56,41,48887706246458963
XORSHIFT,56,56,42,39328553423822700
XORSHIFT,56,56,43,49183492345858135
XORSHIFT,56,55,44,35332822773263609
XORSHIFT,56,54,45,9689031404060465
XORSHIFT,56,56,46,40995166197556709
XORSHIFT,56,56,47,50348192559203552
XORSHIFT,56,56,48,48456718221632007
XORSHIFT,56,55,49,22317177355563981
XORSHIFT,56,56,50,64790165048478244
XORSHIFT,56,56,51,60039202443939445
XORSHIFT,56,56,52,40177864609564592
XORSHIFT,56,56,53,58690093810710906
XORSHIFT,56,56,54,61659174974383448
XORSHIFT,56,56,55,47675998114201555
XORSHIFT,56,56,56,63664016043230874
XORSHIFT,56,54,57,14074831194183086
XORSHIFT,56,56,58,44362995875067673
XORSHIFT,56,56,59,67692522285903023
XORSHIFT,56,56,60,51321606528670307
XORSHIFT,56,49,61,331948047280989
XORSHIFT,56,51,62,1929625256568144
XORSHIFT,56,55,63,30807840276541758
XORSHIFT,56,56,64,68740742078367696
XORSHIFT,56,56,65,55415119151539291
XORSHIFT,56,56,66,45158549564047525
XORSHIFT,56,56,67,43880466360471684
XORSHIFT,56,55,68,32096765534259987
XORSHIFT,56,56,69,41226332326651983
XORSHIFT,56,56,70,53283453725915895
XORSHIFT,56,56,71,47068780472725574
XORSHIFT,56,55,72,27079235791570025
XORSHIFT,56,55,73,19232540171150493
XORSHIFT,56,54,74,9128541844319927
XORSHIFT,56,56,75,42560357964550661
XORSHIFT,56,55,76,23343156849464507
XORSHIFT,56,54,77,11399856968369449
XORSHIFT,56,55,78,21150507603554288
XORSHIFT,56,56,79,53580703347365580
XORSHIFT,56,55,80,29306593229467658
XORSHIFT,56,55,81,30980296046089608
XORSHIFT,56,52,82,2323031989432702
XORSHIFT,56,54,83,17270885835944845
XORSHIFT,56,56,84,68421931893464783
XORSHIFT,56,56,85,50726730698622542
XORSHIFT,56,49,86,423612316850206
XORSHIFT,56,52,87,4117009801639434
XORSHIFT,56,55,88,22032932168107371
XORSHIFT,56,52,89,3150620935719619
XORSHIFT,56,56,90,46823765278265462
XORSHIFT,56,56,91,40006862583733291
XORSHIFT,56,53,92,5875676964757177
XORSHIFT,56,56,93,64458147652774644
XORSHIFT,56,54,94,12951270924429415
XORSHIFT,56,56,95,71785957332112586
XORSHIFT,56,56,96,57093819663800404
XORSHIFT,56,55,97,25826116987165414
XORSHIFT,56,56,98,65583090485144849
XORSHIFT,56,56,99,71103049701220401
XORSHIFT,80,74,0,18555299195956153870243
XORSHIFT,80,79,1,340290265470144644457299
XORSHIFT,80,77,2,132238529731722448542146
XORSHIFT,80,78,3,152750038115532048314364
XORSHIFT,80,79,4,425833559156673014216274
XORSHIFT,80,79,5,603520170176441419457215
XORSHIFT,80,80,6,650315270346981575904717
XORSHIFT,80,80,7,828630183330913937244684
XORSHIFT,80,80,8,921568701173975471988377
XORSHIFT,80,78,9,258442899056314566668752
XORSHIFT,80,79,10,575381828606488996657073
XORSHIFT,80,80,11,872581434736570781796701
XORSHIFT,80,80,12,720544869603989564842763
XORSHIFT,80,79,13,392815678708035712174040
XORSHIFT,80,80,14,863823945705715415199858
XORSHIFT,80,80,15,1065376724498097575794827
XORSHIFT,80,79,16,399871454091249907670074
XORSHIFT,80,78,17,224988946862382066545189
XORSHIFT,80,80,18,1198688575393869906801407
XORSHIFT,80,80,19,909316391895179936976365
XORSHIFT,80,80,20,729766340187267796706401
XORSHIFT,80,75,21,23462587362889675161882
XORSHIFT,80,80,22,926186848114919977295549
XORSHIFT,80,80,23,699423840650941551175160
XORSHIFT,80,78,24,241077255144064114729129
XORSHIFT,80,80,25,619590302941610065723076
XORSHIFT,80,79,26,450688839077397877385655
XORSHIFT,80,80,27,1049961157882169894779593
XORSHIFT,80,80,28,965089702214367762396894
XORSHIFT,80,80,29,662378719948325794309558
XORSHIFT,80,76,30,50139243640918895077356
XORSHIFT,80,80,31,830114810617611128063062
XORSHIFT,80,78,32,234871480871305158788876
XORSHIFT,80,78,33,195459192762612282817423
XORSHIFT,80,76,34,49365729285169428984662
XORSHIFT,80,80,35,885044753066303183720798
XORSHIFT,80,80,36,1062044986030493188926361
XORSHIFT,80,75,37,27616624033145049189653
XORSHIFT,80,80,38,1186996268537192497536505
XORSHIFT,80,78,39,298130595495583137752139
XORSHIFT,80,78,40,196589979494003171725069
XORSHIFT,80,80,41,683876678087361185644925
XORSHIFT,80,80,42,867222974148089961164753
XORSHIFT,80,80,43,956459055157668817019809
XORSHIFT,80,79,44,392141018693799646868920
XORSHIFT,80,79,45,552897570309745122360647
XORSHIFT,80,80,46,978997425546576713639294
XORSHIFT,80,80,47,1120537182054958816642468
XORSHIFT,80,80,48,673360553026230536300910
XORSHIFT,80,79,49,346660250410831576828787
XORSHIFT,80,80,50,747779244978960706615178
XORSHIFT,80,80,51,857176853256092345409654
XORSHIFT,80,80,52,1099623134079741353328694
XORSHIFT,80,79,53,488770492846961343454275
XORSHIFT,80,80,54,805535301905345922788931
XORSHIFT,80,80,55,1072470978104539750027031
XORSHIFT,80,80,56,956074641545944282292237
XORSHIFT,80,80,57,896353606473035566328469
XORSHIFT,80,79,58,439626703174123015332010
XORSHIFT,80,78,59,154655461750831543919933
XORSHIFT,80,79,60,328243737844200842240461
XORSHIFT,80,78,61,236665347608047638455147
XORSHIFT,80,79,62,418679469038399566245044
XORSHIFT,80,80,63,1189766880943958294478349
XORSHIFT,80,78,64,264912510991956352090028
XORSHIFT,80,80,65,720180331459348588442863
XORSHIFT,80,80,66,747798519374902918670901
XORSHIFT,80,80,67,1086271645863266346956670
XORSHIFT,80,79,68,489535640381092725123825
XORSHIFT,80,80,69,852757148000029509301104
XORSHIFT,80,80,70,740507655901737417019754
XORSHIFT,80,80,71,1082948305747909073053584
XORSHIFT,80,80,72,1076597013535519008784638
XORSHIFT,80,77,73,80314272189758242672760
XORSHIFT,80,79,74,507661926498481001037509
XORSHIFT,80,80,75,866500898032216394389955
XORSHIFT,80,80,76,707331269082225364206034
XORSHIFT,80,78,77,273687723357184467617823
XORSHIFT,80,74,78,16373250341924591995597
XORSHIFT,80,80,79,1206526999886292969572147
XORSHIFT,80,79,80,569934024598938465015001
XORSHIFT,80,80,81,1013102058082202538882487
XORSHIFT,80,79,82,538006732969126317852613
XORSHIFT,80,79,83,593741247120877627096597
XORSHIFT,80,80,84,671321597480132527098075
XORSHIFT,80,80,85,1118028991692699319464548
XORSHIFT,80,80,86,753563607890152457895934
XORSHIFT,80,78,87,277954778396253306143361
XORSHIFT,80,80,88,957201249965554886107042
XORSHIFT,80,79,89,361908753239787210931010
XORSHIFT,80,80,90,948426954328773681672620
XORSHIFT,80,79,91,342588172051470621094343
XORSHIFT,80,80,92,1027509390121014247621513
XORSHIFT,80,80,93,994981264079255422686141
XORSHIFT,80,80,94,1127712448681170957121146
XORSHIFT,80,78,95,238162393036767791628346
XORSHIFT,80,80,96,730841851810028114947916
XORSHIFT,80,80,97,843679955447913548491950
XORSHIFT,80,80,98,1155362643668589003676611
XORSHIFT,80,78,99,290102086028574192235689
XORSHIFT,128,96,0,74919529833343360640931568142
XORSHIFT,128,114,1,19918814927654994412930074155351365
XORSHIFT,128,126,2,46481208297346445903236799025405450752
XORSHIFT,128,127,3,107125849284939048539514252600496260967
XORSHIFT,128,127,4,155453781919653126446056615826483747560
XORSHIFT,128,128,5,254823407631577403817164754063183601087
XORSHIFT,128,126,6,84505317888501602842518729558066491092
XORSHIFT,128,126,7,62045949182875787377524866878645967299
XORSHIFT,128,126,8,81499468199352443014978446220968276230
XORSHIFT,128,127,9,159532292221983490570111873634145774603
XORSHIFT,128,128,10,281998648909435108888642221681648372121
XORSHIFT,128,127,11,113642041887279807238924941617912104394
XORSHIFT,128,128,12,184149483983553139267291475361474639402
XORSHIFT,128,127,13,166523044979609980559938325152108014682
XORSHIFT,128,128,14,170365751498624223605653760405676151894
XORSHIFT,128,128,15,315612996340775522517078052258374107148
XORSHIFT,128,126,16,64264859957705426584619460178401896429
XORSHIFT,128,128,17,336822113765115618683091029418296318833
XORSHIFT,128,128,18,236918943114896348734528142865065027100
XORSHIFT,128,128,19,296329899417814964063094116496082939508
XORSHIFT,128,128,20,214188021795311588513839798155846606722
XORSHIFT,128,128,21,199249067484915750453754386157725093705
XORSHIFT,128,127,22,153652740724777472434700403466401323821
XORSHIFT,128,128,23,269465296433695323239431353083749964501
XORSHIFT,128,126,24,78269158471484570088042551508915169197
XORSHIFT,128,127,25,161531606027498369183380310617042998146
XORSHIFT,128,128,26,210599120262064913082801730256117807512
XORSHIFT,128,123,27,10573770195512586870661653306894929407
XORSHIFT,128,128,28,267059771358510547170241186449496038467
XORSHIFT,128,128,29,236661190373378547555315815087639678455
XORSHIFT,128,128,30,250442918066258664867083828380580195066
XORSHIFT,128,126,31,69400105222877807539865980555115253077
XORSHIFT,128,128,32,309525992161873347664595192563679860379
XORSHIFT,128,127,33,91601618063305808650150065062437920249
XORSHIFT,128,128,34,237330268199344642773450576736720832349
XORSHIFT,128,128,35,320607839550181223376112959598131339624
XORSHIFT,128,128,36,264011118803139323366144642780535350069
XORSHIFT,128,123,37,10506382237772114833026551495983500827
XORSHIFT,128,128,38,264680503435183791477115957816055303845
