Algorithm;n_bits_max;n_bits;Index;Random_Number
LCG;40;40;0;665257440095
LCG;40;38;1;167337250538
LCG;40;40;2;1068829377809
LCG;40;39;3;360350278916
LCG;40;40;4;945165322675
LCG;40;39;5;370339984590
LCG;40;39;6;344420074949
LCG;40;40;7;971907972296
LCG;40;40;8;636854892999
LCG;40;40;9;563367978866
LCG;40;40;10;852313670201
LCG;40;37;11;71808084812
LCG;40;38;12;268890093467
LCG;40;40;13;1023278377686
LCG;40;40;14;1089978682989
LCG;40;39;15;318212510864
LCG;40;39;16;386845636399
LCG;40;40;17;827131331322
LCG;40;40;18;829599579745
LCG;40;37;19;73166658708
LCG;40;40;20;768839249027
LCG;40;38;21;267650085854
LCG;40;39;22;549370308117
LCG;40;37;23;118057903960
LCG;40;39;24;325805018007
LCG;40;40;25;608766722434
LCG;40;40;26;851630299529
LCG;40;40;27;777787119836
LCG;40;40;28;587556915307
LCG;40;40;29;1050324152294
LCG;40;39;30;411110829245
LCG;40;40;31;579296302368
LCG;40;38;32;144016103167
LCG;40;40;33;1063513080586
LCG;40;38;34;143766221745
LCG;40;39;35;306231869476
LCG;40;37;36;68833192787
LCG;40;40;37;791371677422
LCG;40;40;38;970395337317
LCG;40;39;39;543624527336
LCG;40;40;40;1078381934951
LCG;40;40;41;1085299353490
LCG;40;40;42;664357088473
LCG;40;38;43;240119870060
LCG;40;38;44;236321043771
LCG;40;39;45;310761079030
LCG;40;40;46;966736627469
LCG;40;40;47;1001016558000
LCG;40;38;48;166807868111
LCG;40;34;49;13656035098
LCG;40;40;50;563146089729
LCG;40;40;51;886329610164
LCG;40;39;52;324844455459
LCG;40;40;53;747130099198
LCG;40;40;54;1011927915189
LCG;40;38;55;214742712440
LCG;40;39;56;447381553975
LCG;40;39;57;294187358626
LCG;40;40;58;803480288297
LCG;40;39;59;353790851068
LCG;40;40;60;592100457995
LCG;40;40;61;1052888735238
LCG;40;39;62;549516369245
LCG;40;40;63;669091617344
LCG;40;39;64;311660718751
LCG;40;40;65;1098942637866
LCG;40;39;66;458423849553
LCG;40;39;67;475112065860
LCG;40;40;68;970416880883
LCG;40;40;69;678447970574
LCG;40;32;70;2328702725
LCG;40;39;71;498033159944
LCG;40;40;72;812803287303
LCG;40;35;73;26426398642
LCG;40;40;74;995969386361
LCG;40;39;75;340180019596
LCG;40;37;76;137000985307
LCG;40;40;77;788374996758
LCG;40;40;78;798014484397
LCG;40;36;79;52298981072
LCG;40;38;80;185163947631
LCG;40;40;81;1034411363130
LCG;40;34;82;11246222241
LCG;40;40;83;814943515348
LCG;40;39;84;405747830723
LCG;40;39;85;375932594206
LCG;40;37;86;85741436757
LCG;40;37;87;111409400216
LCG;40;40;88;632196360919
LCG;40;37;89;95561376194
LCG;40;40;90;768234835657
LCG;40;38;91;262761940764
LCG;40;39;92;479055143851
LCG;40;40;93;959768476710
LCG;40;40;94;871554891261
LCG;40;40;95;957646589792
LCG;40;39;96;487575809599
LCG;40;36;97;55342283594
LCG;40;40;98;966456058097
LCG;40;40;99;993239942756
LCG;56;55;0;27979976559050387
LCG;56;56;1;63538864239584046
LCG;56;56;2;54785116796586917
LCG;56;55;3;19149353488977960
LCG;56;55;4;19304780321048743
LCG;56;56;5;66384457743202258
LCG;56;52;6;2700140085826073
LCG;56;56;7;49234540283465900
LCG;56;47;8;100179272384635
LCG;56;56;9;51478301288627510
LCG;56;53;10;8725628267530317
LCG;56;55;11;29065117577341936
LCG;56;55;12;31275686807640591
LCG;56;56;13;55772003439556442
LCG;56;53;14;6284853419049537
LCG;56;56;15;48028184415208948
LCG;56;56;16;41242200770775395
LCG;56;56;17;71422300438587966
LCG;56;54;18;10064916696355829
LCG;56;55;19;22522455505830584
LCG;56;56;20;43286483089261175
LCG;56;52;21;4237743005833698
LCG;56;55;22;23501883350339945
LCG;56;53;23;4953434646431292
LCG;56;54;24;14907363999037771
LCG;56;56;25;36211452327463494
LCG;56;56;26;57584162768359069
LCG;56;55;27;21107092554151040
LCG;56;54;28;9197174990643679
LCG;56;56;29;41962336303497066
LCG;56;56;30;43886113559371665
LCG;56;56;31;47574271049560452
LCG;56;56;32;61340635633840179
LCG;56;55;33;19202755051519310
LCG;56;53;34;8129767249074245
LCG;56;54;35;14781693646463304
LCG;56;55;36;33157435349735495
LCG;56;55;37;24776760946935794
LCG;56;56;38;54796894466133177
LCG;56;56;39;65058878461618124
LCG;56;56;40;59503418802359835
LCG;56;55;41;32536003281380182
LCG;56;55;42;30832863448813805
LCG;56;54;43;12541354108479760
LCG;56;52;44;3160679345096111
LCG;56;55;45;24067415480193914
LCG;56;51;46;1924325008619745
