Algorithm;n_bits_max;n_bits;Index;Random_Number
XORSHIFT;40;33;0;4429218816
XORSHIFT;40;38;1;146171560000
XORSHIFT;40;39;2;512083793028
XORSHIFT;40;40;3;585894244389
XORSHIFT;40;40;4;925312330373
XORSHIFT;40;40;5;562613003129
XORSHIFT;40;39;6;492181594658
XORSHIFT;40;37;7;90109204679
XORSHIFT;40;39;8;427012855709
XORSHIFT;40;40;9;808138068157
XORSHIFT;40;33;10;6226533266
XORSHIFT;40;40;11;886178267355
XORSHIFT;40;40;12;907070775645
XORSHIFT;40;35;13;33198567576
XORSHIFT;40;40;14;610326015061
XORSHIFT;40;36;15;45414189457
XORSHIFT;40;40;16;628615788346
XORSHIFT;40;40;17;1075804319228
XORSHIFT;40;39;18;362915244244
XORSHIFT;40;40;19;596447189038
XORSHIFT;40;38;20;167009873902
XORSHIFT;40;40;21;1000822592344
XORSHIFT;40;40;22;890716687323
XORSHIFT;40;37;23;70305201003
XORSHIFT;40;40;24;944501671039
XORSHIFT;40;36;25;51952918927
XORSHIFT;40;37;26;76763340550
XORSHIFT;40;36;27;43779989679
XORSHIFT;40;40;28;640657572219
XORSHIFT;40;40;29;954554292057
XORSHIFT;40;40;30;654073362851
XORSHIFT;40;40;31;641893306654
XORSHIFT;40;36;32;47536078118
XORSHIFT;40;38;33;245142458683
XORSHIFT;40;40;34;1009413641976
XORSHIFT;40;40;35;873335726185
XORSHIFT;40;36;36;54656422177
XORSHIFT;40;40;37;790758480592
XORSHIFT;40;40;38;708446517421
XORSHIFT;40;40;39;700989624766
XORSHIFT;40;40;40;1035809698011
XORSHIFT;40;40;41;1033831486878
XORSHIFT;40;40;42;967735069747
XORSHIFT;40;40;43;1092894955056
XORSHIFT;40;40;44;1052951955005
XORSHIFT;40;35;45;23020046551
XORSHIFT;40;39;46;299393559735
XORSHIFT;40;40;47;722825672835
XORSHIFT;40;40;48;860389320649
XORSHIFT;40;39;49;449969035692
XORSHIFT;40;36;50;60010977033
XORSHIFT;40;37;51;87559972814
XORSHIFT;40;38;52;187951742255
XORSHIFT;40;38;53;159312195736
XORSHIFT;40;40;54;604674736526
XORSHIFT;40;40;55;590032209184
XORSHIFT;40;37;56;87109894630
XORSHIFT;40;35;57;33192714379
XORSHIFT;40;39;58;534302417115
XORSHIFT;40;40;59;772275534085
XORSHIFT;40;40;60;1071188691183
XORSHIFT;40;39;61;442231279240
XORSHIFT;40;39;62;541669070180
XORSHIFT;40;40;63;1074706326381
XORSHIFT;40;39;64;438928929093
XORSHIFT;40;38;65;179539648072
XORSHIFT;40;38;66;183126065886
XORSHIFT;40;40;67;771107086246
XORSHIFT;40;40;68;763542604820
XORSHIFT;40;40;69;974236018626
XORSHIFT;40;40;70;895221328832
XORSHIFT;40;39;71;356577022160
XORSHIFT;40;37;72;74327599855
XORSHIFT;40;40;73;981499892483
XORSHIFT;40;35;74;21615826314
XORSHIFT;40;38;75;230729611457
XORSHIFT;40;40;76;732409889354
XORSHIFT;40;38;77;255214271658
XORSHIFT;40;40;78;1075690295770
XORSHIFT;40;40;79;815419147286
XORSHIFT;40;39;80;330790077333
XORSHIFT;40;40;81;1071921110652
XORSHIFT;40;39;82;329892508390
XORSHIFT;40;40;83;764172459352
XORSHIFT;40;40;84;972118809744
XORSHIFT;40;39;85;405971733948
XORSHIFT;40;34;86;15655956385
XORSHIFT;40;39;87;523604052494
XORSHIFT;40;40;88;603895694419
XORSHIFT;40;40;89;775136859240
XORSHIFT;40;35;90;17755819022
XORSHIFT;40;40;91;669304612196
XORSHIFT;40;40;92;1047088082214
XORSHIFT;40;40;93;687626338780
XORSHIFT;40;39;94;485480364733
XORSHIFT;40;40;95;849194276231
XORSHIFT;40;38;96;273088368137
XORSHIFT;40;38;97;209229803555
XORSHIFT;40;40;98;557120473481
XORSHIFT;40;40;99;784683008810
XORSHIFT;56;56;0;57432289587551608
XORSHIFT;56;55;1;32960658761614479
XORSHIFT;56;56;2;57091115547612769
XORSHIFT;56;55;3;24434935084637250
XORSHIFT;56;56;4;47209716539465964
XORSHIFT;56;56;5;53475425661231622
XORSHIFT;56;51;6;1732274251000710
XORSHIFT;56;56;7;60529352238047087
XORSHIFT;56;56;8;59197243303830216
XORSHIFT;56;54;9;15828996128004579
XORSHIFT;56;54;10;17659314360445875
XORSHIFT;56;55;11;35668527946791263
XORSHIFT;56;56;12;70430777087502780
XORSHIFT;56;53;13;8155116407301088
XORSHIFT;56;56;14;37992280100266681
XORSHIFT;56;55;15;35241814261398616
XORSHIFT;56;56;16;46518712907680440
XORSHIFT;56;56;17;38867352148432657
XORSHIFT;56;56;18;64750138171309013
XORSHIFT;56;56;19;52725205185399973
XORSHIFT;56;56;20;60174975368452075
XORSHIFT;56;54;21;17562762167110895
XORSHIFT;56;56;22;45472184955952126
XORSHIFT;56;56;23;62634927294771867
XORSHIFT;56;55;24;19054040410755813
XORSHIFT;56;54;25;15182323035182647
XORSHIFT;56;55;26;32677670812657252
XORSHIFT;56;55;27;26737910289119794
XORSHIFT;56;56;28;57883640598982873
XORSHIFT;56;56;29;42682407697487886
XORSHIFT;56;56;30;53933784204862805
XORSHIFT;56;54;31;15029761439806902
XORSHIFT;56;56;32;54744132718594651
XORSHIFT;56;56;33;62066922786605699
XORSHIFT;56;55;34;25859912737660628
XORSHIFT;56;53;35;8510707599444522
XORSHIFT;56;56;36;40979775898592296
XORSHIFT;56;56;37;67933195703951646
XORSHIFT;56;55;38;18232273727910813
XORSHIFT;56;54;39;17187661949326523
XORSHIFT;56;56;40;55249986715798865
XORSHIFT;56;54;41;15951280231843233
XORSHIFT;56;54;42;15156892389992332
XORSHIFT;56;56;43;61168854727469778
XORSHIFT;56;53;44;7868687317666483
XORSHIFT;56;56;45;66353474093964173
XORSHIFT;56;56;46;40585003726095688
XORSHIFT;56;52;47;3635204622537594
XORSHIFT;56;53;48;7856012723599510
XORSHIFT;56;55;49;20050338657010913
XORSHIFT;56;55;50;27267896609043852
XORSHIFT;56;55;51;34753329433845671
XORSHIFT;56;52;52;3025458920874120
XORSHIFT;56;54;53;10982756964572289
XORSHIFT;56;55;54;24385855426802634
XORSHIFT;56;56;55;63788935430856503
XORSHIFT;56;56;56;39591102185215870
XORSHIFT;56;55;57;32613392801288299
XORSHIFT;56;55;58;29893385006791622
XORSHIFT;56;56;59;58552423290646881
XORSHIFT;56;52;60;3086192822624330
XORSHIFT;56;52;61;2573041347644573
XORSHIFT;56;50;62;998439348583766
XORSHIFT;56;56;63;53326578826305178
XORSHIFT;56;55;64;27854635769074544
XORSHIFT;56;53;65;7825834174876745
XORSHIFT;56;56;66;66356333024843045
XORSHIFT;56;56;67;46715376393912178
XORSHIFT;56;55;68;34873544858950629
XORSHIFT;56;56;69;43180641796067723
XORSHIFT;56;56;70;64207263764480901
XORSHIFT;56;55;71;20543759413424298
XORSHIFT;56;53;72;7742679252990392
XORSHIFT;56;56;73;64695407086279390
XORSHIFT;56;56;74;63029715106392142
XORSHIFT;56;55;75;18265105018588496
XORSHIFT;56;56;76;57504760155119536
XORSHIFT;56;56;77;59757469771851987
XORSHIFT;56;56;78;42278893490888808
XORSHIFT;56;55;79;30108966992725484
XORSHIFT;56;50;80;824006452492417
XORSHIFT;56;55;81;19487329139389851
XORSHIFT;56;56;82;66477296892789886
XORSHIFT;56;49;83;295947192467631
XORSHIFT;56;54;84;10095152633278918
XORSHIFT;56;51;85;1245284371611214
XORSHIFT;56;55;86;20845493080260452
XORSHIFT;56;56;87;46767348347990185
XORSHIFT;56;54;88;11621955222814348
XORSHIFT;56;54;89;12991178596113367
XORSHIFT;56;56;90;46773932255684989
XORSHIFT;56;55;91;28183168624757574
XORSHIFT;56;54;92;12151275852388497
XORSHIFT;56;54;93;12226931503275431
XORSHIFT;56;53;94;8621853419320964
XORSHIFT;56;56;95;64421758376995458
XORSHIFT;56;55;96;28439345523734340
XORSHIFT;56;55;97;24133782721995931
XORSHIFT;56;55;98;27918331293047343
XORSHIFT;56;56;99;51958549233148053
XORSHIFT;80;74;0;13971519441812294855543
XORSHIFT;80;79;1;490140978830955726564574
XORSHIFT;80;80;2;828977970754611125873829
XORSHIFT;80;80;3;1137323980134876143919936
XORSHIFT;80;80;4;1170952410914851795334397
XORSHIFT;80;79;5;546049884668356820209754
XORSHIFT;80;80;6;735484947329669407810663
XORSHIFT;80;80;7;1035672936312789600090775
XORSHIFT;80;80;8;644197909724172994683820
XORSHIFT;80;80;9;1074589615635639443749319
XORSHIFT;80;79;10;430998306593094134572035
XORSHIFT;80;79;11;458285362630819395661450
XORSHIFT;80;80;12;1180855516004061193663907
XORSHIFT;80;79;13;354993352726139721441778
XORSHIFT;80;79;14;303893987084480341663088
XORSHIFT;80;80;15;670681105791165685724837
XORSHIFT;80;78;16;230079036007304733963300
XORSHIFT;80;79;17;321153515943946565363690
XORSHIFT;80;80;18;1123070086112660363106243
XORSHIFT;80;79;19;522031714766192276051990
XORSHIFT;80;79;20;331655377443446785924128
XORSHIFT;80;80;21;797301115742238063195128
XORSHIFT;80;77;22;95825026101705041236924
XORSHIFT;80;79;23;554644802839716133269460
XORSHIFT;80;80;24;1037784196005503263678696
XORSHIFT;80;79;25;587629290052258029934288
XORSHIFT;80;80;26;1009258662523961845302269
XORSHIFT;80;79;27;548889279714393155754418
XORSHIFT;80;80;28;1188265283709922046583481
XORSHIFT;80;80;29;614259736785611594747039
XORSHIFT;80;80;30;1188014108610239951341188
XORSHIFT;80;80;31;892475209423858642793522
XORSHIFT;80;78;32;230097601784051407166121
XORSHIFT;80;79;33;467393643376286603037538
XORSHIFT;80;80;34;927100846065444843008023
XORSHIFT;80;80;35;1184173986507328886991314
XORSHIFT;80;78;36;197637738003113317487477
XORSHIFT;80;80;37;1163652290886035427364685
XORSHIFT;80;80;38;1000800520610476949584499
XORSHIFT;80;77;39;129837807787001301074082
XORSHIFT;80;80;40;841698825442885272272111
XORSHIFT;80;78;41;235237106097801663579974
XORSHIFT;80;80;42;1086493578816946311314837
XORSHIFT;80;80;43;930077489181330885588052
XORSHIFT;80;79;44;311124833934578098094899
XORSHIFT;80;79;45;375894584556877986534401
XORSHIFT;80;80;46;834649208014202155351038
XORSHIFT;80;80;47;1022657941011643027436893
XORSHIFT;80;80;48;691245098096992842108558
XORSHIFT;80;78;49;237634657086117350981117
XORSHIFT;80;80;50;1148035219642349989720811
XORSHIFT;80;80;51;639404257305991543640605
XORSHIFT;80;77;52;133850467077849762664160
XORSHIFT;80;80;53;790135067840608397803765
XORSHIFT;80;79;54;451423183858370906506122
XORSHIFT;80;80;55;716304976234082450849294
XORSHIFT;80;79;56;437533237471052537321408
XORSHIFT;80;80;57;1184762488644035175128988
XORSHIFT;80;80;58;662492053971622521872916
XORSHIFT;80;78;59;214395445624598343574354
XORSHIFT;80;80;60;1017476901184474645032569
XORSHIFT;80;80;61;807249472001728158651054
XORSHIFT;80;80;62;631670432248474056911600
XORSHIFT;80;80;63;986701756046856041476485
XORSHIFT;80;78;64;293040390984553799026400
XORSHIFT;80;79;65;334175489167044539690403
XORSHIFT;80;78;66;201802010532545139120133
XORSHIFT;80;80;67;1050938387766974266952293
XORSHIFT;80;80;68;676890915828604719416184
XORSHIFT;80;80;69;1203792052103251262942947
XORSHIFT;80;80;70;1053714274302839009662008
XORSHIFT;80;80;71;1027657805678412585070033
XORSHIFT;80;80;72;642088942057842072550752
XORSHIFT;80;79;73;413675440056341770399435
XORSHIFT;80;75;74;33724355056170719293073
XORSHIFT;80;80;75;793397408590225936327364
XORSHIFT;80;79;76;372424797639252218720002
XORSHIFT;80;80;77;1143924747463171592056081
XORSHIFT;80;77;78;146553761391871209421183
XORSHIFT;80;78;79;152838325957082697475713
XORSHIFT;80;72;80;3240097999032417093199
XORSHIFT;80;79;81;549737316051484934669085
XORSHIFT;80;80;82;699887931729114833902856
XORSHIFT;80;80;83;841807044708369140925038
XORSHIFT;80;79;84;577761163344071578872566
XORSHIFT;80;80;85;934329472521746786607000
XORSHIFT;80;79;86;403511570719035424123601
XORSHIFT;80;78;87;189244166961280911255971
XORSHIFT;80;80;88;895277124308132349620715
XORSHIFT;80;80;89;1109147653905648470523945
XORSHIFT;80;79;90;445704689883090128537323
XORSHIFT;80;79;91;492366234524584268765121
XORSHIFT;80;80;92;1132814398355092147723534
XORSHIFT;80;80;93;1034390357491382093360077
XORSHIFT;80;79;94;381993473813915717699989
XORSHIFT;80;80;95;684325328400615403399948
XORSHIFT;80;80;96;907653945644067651776535
XORSHIFT;80;79;97;403061818066988924714195
XORSHIFT;80;80;98;790371236796912924861274
XORSHIFT;80;80;99;1200972024192082356358356
XORSHIFT;128;98;0;309049300459550072315525626348
XORSHIFT;128;116;1;82568772824454625210607069136504239
XORSHIFT;128;127;2;136846848715123821503928401839815177455
XORSHIFT;128;126;3;70997247908066288239733255484170898703
XORSHIFT;128;128;4;298209222171172210563167286969858056259
XORSHIFT;128;128;5;271744817644445968963423603927521494633
XORSHIFT;128;128;6;278392095400770717217941079223540127593
XORSHIFT;128;128;7;186995602483853443957046422789710356415
XORSHIFT;128;128;8;324353474387558654032778499134188715083
XORSHIFT;128;126;9;44870550778706415157501400451521832301
XORSHIFT;128;126;10;45470673505940012096980880902775205675
XORSHIFT;128;128;11;206134509122116724207450802835044868105
XORSHIFT;128;127;12;95325870228138979632125744787314317424
XORSHIFT;128;126;13;68161108280817254327867877089804225994
XORSHIFT;128;128;14;287818409115604226769085308970583714253
XORSHIFT;128;124;15;17497613302664455379389618298968754086
XORSHIFT;128;126;16;83148875711905129068330558482917081797
XORSHIFT;128;128;17;260427771458604910904576194512124559888
XORSHIFT;128;127;18;145669163752854154240893786140457951290
XORSHIFT;128;127;19;156634995031048942738236372247319890957
XORSHIFT;128;126;20;46959305301451053118563089969892414568
XORSHIFT;128;128;21;312092998437034071783082357905453189680
XORSHIFT;128;127;22;124067236697463795098580566911266037896
XORSHIFT;128;128;23;282921378379200860404358076413387880161
XORSHIFT;128;128;24;310987076152380859646234417830856430416
XORSHIFT;128;128;25;276481545617106668288621544716269355794
XORSHIFT;128;127;26;169492029811876193498469423733791144419
XORSHIFT;128;126;27;76532604759081052253547795698344682248
XORSHIFT;128;128;28;315711621875665766451731081597428601867
XORSHIFT;128;127;29;90485430091573523538867397550464634166
XORSHIFT;128;128;30;315518321391084046618528242538184039751
XORSHIFT;128;128;31;314279164731476488003205901847327529181
XORSHIFT;128;127;32;90286338660375574453470572499823121164
XORSHIFT;128;128;33;252900575134171870031833547142241908545
XORSHIFT;128;128;34;231419108274735982913036694641699481960
XORSHIFT;128;128;35;192359391596635730487346312789505120504
XORSHIFT;128;126;36;59689445741987696513834082029950306649
XORSHIFT;128;127;37;120974614536992231958124598133120689282
XORSHIFT;128;125;38;25573268114759812531927909508220744764
XORSHIFT;128;126;39;82600896107244033207006044505267034255
XORSHIFT;128;125;40;36701331055265472616644074861091801925
XORSHIFT;128;127;41;96021544153947834717880782590184507792
XORSHIFT;128;128;42;217218146069254327087336473011584644614
XORSHIFT;128;127;43;124660387294415048413231334887025114601
XORSHIFT;128;126;44;58926962301893682913170655681005251161
XORSHIFT;128;128;45;198759987658865974066554384027729973426
XORSHIFT;128;128;46;258473051019987030737421732099872042298
XORSHIFT;128;127;47;141693430992931024122647294029363748219
XORSHIFT;128;128;48;247940443442296430917557442822772030050
XORSHIFT;128;127;49;93281694632244074862971961173473807691
XORSHIFT;128;128;50;241748615304312307214785448790915460947
XORSHIFT;128;128;51;243288983068506981323919683750605379353
XORSHIFT;128;128;52;228957605629947661846089693898171347010
XORSHIFT;128;127;53;119610238612700694296812524688824380552
